Query 13{precision: 0.0=0.0/135.0, recall: 0.0=0.0/4.0
Query 130{precision: 0.0064=4.0/625.0, recall: 0.8=4.0/5.0
Query 131{precision: 0.0110803324099723=8.0/722.0, recall: 1.0=8.0/8.0
Query 132{precision: 0.04310344827586207=15.0/348.0, recall: 1.0=15.0/15.0
Query 133{precision: 0.01583710407239819=7.0/442.0, recall: 1.0=7.0/7.0
Query 134{precision: 0.002098635886673662=2.0/953.0, recall: 1.0=2.0/2.0
Query 135{precision: 0.010443864229765013=8.0/766.0, recall: 1.0=8.0/8.0
Query 136{precision: 0.0033076074972436605=3.0/907.0, recall: 1.0=3.0/3.0
Query 137{precision: 0.003421727972626176=4.0/1169.0, recall: 1.0=4.0/4.0
Query 138{precision: 0.002398081534772182=2.0/834.0, recall: 1.0=2.0/2.0
Query 139{precision: 0.003952569169960474=4.0/1012.0, recall: 1.0=4.0/4.0
Query 14{precision: 0.008620689655172414=2.0/232.0, recall: 1.0=2.0/2.0
Query 140{precision: 0.043478260869565216=4.0/92.0, recall: 0.6666666666666666=4.0/6.0
Query 141{precision: 0.011185682326621925=5.0/447.0, recall: 0.8333333333333334=5.0/6.0
Query 142{precision: 0.001183431952662722=1.0/845.0, recall: 1.0=1.0/1.0
Query 143{precision: 0.0037243947858473=2.0/537.0, recall: 1.0=2.0/2.0
Query 144{precision: 0.006191950464396285=6.0/969.0, recall: 1.0=6.0/6.0
Query 145{precision: 0.009615384615384616=7.0/728.0, recall: 1.0=7.0/7.0
Query 146{precision: 0.0020597322348094747=2.0/971.0, recall: 1.0=2.0/2.0
Query 147{precision: 0.01070154577883472=9.0/841.0, recall: 0.9=9.0/10.0
Query 148{precision: 0.00894187779433681=6.0/671.0, recall: 1.0=6.0/6.0
Query 149{precision: 0.011363636363636364=11.0/968.0, recall: 1.0=11.0/11.0
Query 15{precision: 0.013513513513513514=2.0/148.0, recall: 1.0=2.0/2.0
Query 150{precision: 0.002574002574002574=2.0/777.0, recall: 1.0=2.0/2.0
Query 151{precision: 0.0054288816503800215=5.0/921.0, recall: 1.0=5.0/5.0
Query 152{precision: 0.0050200803212851405=5.0/996.0, recall: 0.8333333333333334=5.0/6.0
Query 153{precision: 0.013123359580052493=5.0/381.0, recall: 0.7142857142857143=5.0/7.0
Query 154{precision: 0.002157497303128371=2.0/927.0, recall: 1.0=2.0/2.0
Query 155{precision: 0.014760147601476014=4.0/271.0, recall: 0.6666666666666666=4.0/6.0
Query 156{precision: 0.0514018691588785=11.0/214.0, recall: 0.7857142857142857=11.0/14.0
Query 157{precision: 0.0329004329004329=38.0/1155.0, recall: 0.9743589743589743=38.0/39.0
Query 158{precision: 0.01812688821752266=6.0/331.0, recall: 0.75=6.0/8.0
Query 159{precision: 0.013358778625954198=7.0/524.0, recall: 0.875=7.0/8.0
Query 16{precision: 0.0030991735537190084=3.0/968.0, recall: 1.0=3.0/3.0
