Term: persistent                     Term Frequency: 1         
Term: size                           Term Frequency: 1         
Term: 6                              Term Frequency: 1         
Term: much                           Term Frequency: 1         
Term: accessible                     Term Frequency: 1         
Term: after                          Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: s                              Term Frequency: 1         
Term: wrap                           Term Frequency: 1         
Term: wish                           Term Frequency: 1         
Term: area                           Term Frequency: 1         
Term: making                         Term Frequency: 1         
Term: psychology                     Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: live                           Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: classroom                      Term Frequency: 1         
Term: underlying                     Term Frequency: 1         
Term: intelligence                   Term Frequency: 1         
Term: enrolment                      Term Frequency: 1         
Term: even                           Term Frequency: 1         
Term: question                       Term Frequency: 1         
Term: communities                    Term Frequency: 1         
Term: upon                           Term Frequency: 1         
Term: whether                        Term Frequency: 1         
Term: improve                        Term Frequency: 1         
Term: basic                          Term Frequency: 1         
Term: intended                       Term Frequency: 1         
Term: must                           Term Frequency: 1         
Term: 4190                           Term Frequency: 1         
Term: two                            Term Frequency: 1         
Term: found                          Term Frequency: 1         
Term: does                           Term Frequency: 1         
Term: dataset                        Term Frequency: 1         
Term: offers                         Term Frequency: 1         
Term: dx.doi.org                     Term Frequency: 1         
Term: suited                         Term Frequency: 1         
Term: measure                        Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: doctoral                       Term Frequency: 1         
Term: aspects                        Term Frequency: 1         
Term: updates                        Term Frequency: 1         
Term: 2883851.2883879                Term Frequency: 1         
Term: ends                           Term Frequency: 1         
Term: overview                       Term Frequency: 1         
Term: manage                         Term Frequency: 1         
Term: recipient                      Term Frequency: 1         
Term: short                          Term Frequency: 1         
Term: applications                   Term Frequency: 1         
Term: program                        Term Frequency: 1         
Term: required                       Term Frequency: 1         
Term: forums                         Term Frequency: 1         
Term: junior                         Term Frequency: 1         
Term: provide                        Term Frequency: 1         
Term: requires                       Term Frequency: 1         
Term: presentations                  Term Frequency: 1         
Term: initial                        Term Frequency: 1         
Term: travel                         Term Frequency: 1         
Term: interests                      Term Frequency: 1         
Term: experience                     Term Frequency: 1         
Term: answering                      Term Frequency: 1         
Term: bear                           Term Frequency: 1         
Term: day                            Term Frequency: 1         
Term: classify                       Term Frequency: 1         
Term: logistics                      Term Frequency: 1         
Term: general                        Term Frequency: 1         
Term: requirements                   Term Frequency: 1         
Term: clear                          Term Frequency: 1         
Term: clean                          Term Frequency: 1         
Term: build                          Term Frequency: 1         
Term: mean                           Term Frequency: 1         
Term: attendance                     Term Frequency: 1         
Term: areas                          Term Frequency: 1         
Term: impact                         Term Frequency: 1         
Term: opportunity                    Term Frequency: 1         
Term: easy                           Term Frequency: 1         
Term: population                     Term Frequency: 1         
Term: journal                        Term Frequency: 1         
Term: webcast                        Term Frequency: 1         
Term: mini                           Term Frequency: 1         
Term: series                         Term Frequency: 1         
Term: correctly                      Term Frequency: 1         
Term: confusion                      Term Frequency: 1         
Term: subtleties                     Term Frequency: 1         
Term: introductory                   Term Frequency: 1         
Term: papers                         Term Frequency: 1         
Term: just                           Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: sold                           Term Frequency: 1         
Term: complimentary                  Term Frequency: 1         
Term: 2016                           Term Frequency: 1         
Term: regression                     Term Frequency: 1         
Term: 2014                           Term Frequency: 1         
Term: articles                       Term Frequency: 1         
Term: tables                         Term Frequency: 1         
Term: wekamooc.blogspot.com          Term Frequency: 1         
Term: field                          Term Frequency: 1         
Term: sites.google.com               Term Frequency: 1         
Term: rental                         Term Frequency: 1         
Term: includes                       Term Frequency: 1         
Term: experiences                    Term Frequency: 1         
Term: steps                          Term Frequency: 1         
Term: tutorial2                      Term Frequency: 1         
Term: problems                       Term Frequency: 1         
Term: best                           Term Frequency: 1         
Term: make                           Term Frequency: 1         
Term: tutorials                      Term Frequency: 1         
Term: 04                             Term Frequency: 1         
Term: about                          Term Frequency: 1         
Term: observed                       Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: 15                             Term Frequency: 1         
Term: methodologies                  Term Frequency: 1         
Term: ministry                       Term Frequency: 1         
Term: components                     Term Frequency: 1         
Term: 25                             Term Frequency: 1         
Term: 29                             Term Frequency: 1         
Term: global                         Term Frequency: 1         
Term: many                           Term Frequency: 1         
Term: people                         Term Frequency: 1         
Term: increasing                     Term Frequency: 1         
Term: experts                        Term Frequency: 1         
Term: solutions                      Term Frequency: 1         
Term: speed                          Term Frequency: 1         
Term: multiplied                     Term Frequency: 1         
Term: themselves                     Term Frequency: 1         
Term: clusters                       Term Frequency: 1         
Term: recently                       Term Frequency: 1         
Term: again                          Term Frequency: 1         
Term: artificial                     Term Frequency: 1         
Term: relate                         Term Frequency: 1         
Term: registration                   Term Frequency: 1         
Term: www.solaresearch.org           Term Frequency: 1         
Term: requests                       Term Frequency: 1         
Term: event                          Term Frequency: 1         
Term: established                    Term Frequency: 1         
Term: screensharing                  Term Frequency: 1         
Term: craig.thompson                 Term Frequency: 1         
Term: first                          Term Frequency: 1         
Term: 10.1145                        Term Frequency: 1         
Term: revision                       Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: error                          Term Frequency: 1         
Term: platform                       Term Frequency: 1         
Term: network                        Term Frequency: 1         
Term: empowerment                    Term Frequency: 1         
Term: trace                          Term Frequency: 1         
Term: paper                          Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: objects                        Term Frequency: 1         
Term: excellent                      Term Frequency: 1         
Term: version                        Term Frequency: 1         
Term: persons                        Term Frequency: 1         
Term: appropriate                    Term Frequency: 1         
Term: chapters                       Term Frequency: 1         
Term: immediately                    Term Frequency: 1         
Term: matrix                         Term Frequency: 1         
