Term: skills                         Term Frequency: 4         
Term: expected                       Term Frequency: 4         
Term: research                       Term Frequency: 4         
Term: study                          Term Frequency: 4         
Term: effect                         Term Frequency: 4         
Term: petency                        Term Frequency: 4         
Term: systems                        Term Frequency: 4         
Term: competencymap                  Term Frequency: 4         
Term: focus                          Term Frequency: 4         
Term: found                          Term Frequency: 4         
Term: prior                          Term Frequency: 4         
Term: 2012                           Term Frequency: 4         
Term: 2011                           Term Frequency: 4         
Term: demonstrated                   Term Frequency: 4         
Term: first                          Term Frequency: 4         
Term: from                           Term Frequency: 4         
Term: post                           Term Frequency: 4         
Term: curriculum                     Term Frequency: 4         
Term: using                          Term Frequency: 4         
Term: through                        Term Frequency: 4         
Term: courses                        Term Frequency: 4         
Term: demon                          Term Frequency: 4         
Term: job                            Term Frequency: 4         
Term: amount                         Term Frequency: 4         
Term: model                          Term Frequency: 4         
Term: stu                            Term Frequency: 4         
Term: 5                              Term Frequency: 3         
Term: 8                              Term Frequency: 3         
Term: 9                              Term Frequency: 3         
Term: policy                         Term Frequency: 3         
Term: pilot                          Term Frequency: 3         
Term: matter                         Term Frequency: 3         
Term: institutions                   Term Frequency: 3         
Term: improve                        Term Frequency: 3         
Term: state                          Term Frequency: 3         
Term: each                           Term Frequency: 3         
Term: measures                       Term Frequency: 3         
Term: shown                          Term Frequency: 3         
Term: particular                     Term Frequency: 3         
Term: status                         Term Frequency: 3         
Term: credit                         Term Frequency: 3         
Term: 20                             Term Frequency: 3         
Term: 22                             Term Frequency: 3         
Term: 24                             Term Frequency: 3         
Term: 27                             Term Frequency: 3         
Term: progress                       Term Frequency: 3         
Term: bars                           Term Frequency: 3         
Term: across                         Term Frequency: 3         
Term: learn                          Term Frequency: 3         
Term: relevance                      Term Frequency: 3         
Term: color                          Term Frequency: 3         
Term: direct                         Term Frequency: 3         
Term: scoring                        Term Frequency: 3         
Term: accounted                      Term Frequency: 3         
Term: en                             Term Frequency: 3         
Term: significantly                  Term Frequency: 3         
Term: email                          Term Frequency: 3         
Term: know                           Term Frequency: 3         
Term: even                           Term Frequency: 3         
Term: studentlearning                Term Frequency: 3         
Term: basic                          Term Frequency: 3         
Term: intended                       Term Frequency: 3         
Term: design                         Term Frequency: 3         
Term: institutional                  Term Frequency: 3         
Term: early                          Term Frequency: 3         
Term: regression                     Term Frequency: 3         
Term: international                  Term Frequency: 3         
Term: experiences                    Term Frequency: 3         
Term: programs                       Term Frequency: 3         
Term: program’s                      Term Frequency: 3         
Term: value                          Term Frequency: 3         
Term: graduate                       Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: stration                       Term Frequency: 3         
Term: both                           Term Frequency: 3         
Term: most                           Term Frequency: 3         
Term: also                           Term Frequency: 3         
Term: see                            Term Frequency: 3         
Term: secondary                      Term Frequency: 3         
Term: degree                         Term Frequency: 3         
Term: aligned                        Term Frequency: 3         
Term: studies                        Term Frequency: 3         
Term: half                           Term Frequency: 2         
Term: successfully                   Term Frequency: 2         
Term: good                           Term Frequency: 2         
Term: analytics                      Term Frequency: 2         
Term: including                      Term Frequency: 2         
Term: distinguished                  Term Frequency: 2         
Term: progressmade                   Term Frequency: 2         
Term: reported                       Term Frequency: 2         
Term: judgments                      Term Frequency: 2         
Term: overall                        Term Frequency: 2         
Term: 1999                           Term Frequency: 2         
Term: part                           Term Frequency: 2         
Term: envision                       Term Frequency: 2         
Term: did                            Term Frequency: 2         
Term: test                           Term Frequency: 2         
Term: uni                            Term Frequency: 2         
Term: being                          Term Frequency: 2         
Term: 3.1                            Term Frequency: 2         
Term: may                            Term Frequency: 2         
Term: mea                            Term Frequency: 2         
Term: 03                             Term Frequency: 2         
Term: 10                             Term Frequency: 2         
Term: 11                             Term Frequency: 2         
Term: 12                             Term Frequency: 2         
Term: 13                             Term Frequency: 2         
Term: 15                             Term Frequency: 2         
Term: 16                             Term Frequency: 2         
Term: 18                             Term Frequency: 2         
Term: 19                             Term Frequency: 2         
Term: unique                         Term Frequency: 2         
Term: 23                             Term Frequency: 2         
Term: 25                             Term Frequency: 2         
Term: 26                             Term Frequency: 2         
Term: 29                             Term Frequency: 2         
Term: volved                         Term Frequency: 2         
Term: long                           Term Frequency: 2         
Term: experts                        Term Frequency: 2         
Term: 43                             Term Frequency: 2         
Term: studying                       Term Frequency: 2         
Term: paced                          Term Frequency: 2         
Term: work                           Term Frequency: 2         
Term: highereducation                Term Frequency: 2         
Term: toward                         Term Frequency: 2         
Term: believed                       Term Frequency: 2         
Term: via                            Term Frequency: 2         
Term: understanding                  Term Frequency: 2         
Term: version                        Term Frequency: 2         
Term: historical                     Term Frequency: 2         
Term: often                          Term Frequency: 2         
Term: alignment                      Term Frequency: 2         
Term: slightly                       Term Frequency: 2         
Term: career                         Term Frequency: 2         
Term: indicated                      Term Frequency: 2         
Term: accreditation                  Term Frequency: 2         
Term: articulating                   Term Frequency: 2         
Term: new                            Term Frequency: 2         
Term: careers                        Term Frequency: 2         
Term: supportive                     Term Frequency: 2         
Term: rates                          Term Frequency: 2         
Term: expectations                   Term Frequency: 2         
Term: grad                           Term Frequency: 2         
Term: non                            Term Frequency: 2         
Term: supporting                     Term Frequency: 2         
Term: green                          Term Frequency: 2         
Term: what                           Term Frequency: 2         
Term: detailed                       Term Frequency: 2         
Term: when                           Term Frequency: 2         
Term: utilize                        Term Frequency: 2         
Term: produced                       Term Frequency: 2         
Term: market                         Term Frequency: 2         
Term: why                            Term Frequency: 2         
Term: colleges                       Term Frequency: 2         
Term: variance                       Term Frequency: 2         
Term: uses                           Term Frequency: 2         
Term: employers                      Term Frequency: 2         
Term: ac                             Term Frequency: 2         
Term: needs                          Term Frequency: 2         
Term: which                          Term Frequency: 2         
Term: rate                           Term Frequency: 2         
Term: management                     Term Frequency: 2         
Term: context                        Term Frequency: 2         
Term: generally                      Term Frequency: 2         
Term: brief                          Term Frequency: 2         
Term: so                             Term Frequency: 2         
Term: perfor                         Term Frequency: 2         
Term: self                           Term Frequency: 2         
Term: development                    Term Frequency: 2         
Term: sent                           Term Frequency: 2         
Term: purposes                       Term Frequency: 2         
Term: weekly                         Term Frequency: 2         
Term: formance                       Term Frequency: 2         
Term: reports                        Term Frequency: 2         
Term: success                        Term Frequency: 2         
Term: regional                       Term Frequency: 2         
Term: ments                          Term Frequency: 2         
Term: approach                       Term Frequency: 2         
Term: engaged                        Term Frequency: 2         
Term: indicating                     Term Frequency: 2         
Term: measuring                      Term Frequency: 2         
Term: must                           Term Frequency: 2         
Term: demonstrating                  Term Frequency: 2         
Term: had                            Term Frequency: 2         
Term: align                          Term Frequency: 2         
Term: pro                            Term Frequency: 2         
Term: universities                   Term Frequency: 2         
Term: ways                           Term Frequency: 2         
Term: learningoutcomes               Term Frequency: 2         
Term: small                          Term Frequency: 2         
Term: been                           Term Frequency: 2         
Term: appreciate                     Term Frequency: 2         
Term: knowledge                      Term Frequency: 2         
Term: opportunity                    Term Frequency: 2         
Term: embedded                       Term Frequency: 2         
Term: 2009                           Term Frequency: 2         
Term: although                       Term Frequency: 2         
Term: versity’s                      Term Frequency: 2         
Term: within                         Term Frequency: 2         
Term: could                          Term Frequency: 2         
Term: positive                       Term Frequency: 2         
Term: compe                          Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: cies                           Term Frequency: 2         
Term: public                         Term Frequency: 2         
Term: colored                        Term Frequency: 2         
Term: track                          Term Frequency: 2         
Term: criterion                      Term Frequency: 2         
Term: its                            Term Frequency: 2         
Term: system                         Term Frequency: 2         
Term: other                          Term Frequency: 2         
Term: specialists                    Term Frequency: 2         
Term: prototype                      Term Frequency: 2         
Term: future                         Term Frequency: 2         
Term: amongst                        Term Frequency: 2         
Term: unit                           Term Frequency: 2         
Term: any                            Term Frequency: 2         
Term: engagement                     Term Frequency: 2         
Term: view                           Term Frequency: 2         
Term: signals                        Term Frequency: 2         
Term: assignments                    Term Frequency: 2         
Term: case                           Term Frequency: 2         
Term: display                        Term Frequency: 2         
Term: subsequent                     Term Frequency: 2         
Term: visualization                  Term Frequency: 2         
Term: curricular                     Term Frequency: 2         
Term: change                         Term Frequency: 2         
Term: several                        Term Frequency: 2         
Term: high                           Term Frequency: 2         
Term: different                      Term Frequency: 2         
Term: relevant                       Term Frequency: 2         
Term: cross                          Term Frequency: 2         
Term: oncompetency                   Term Frequency: 2         
Term: sta                            Term Frequency: 2         
Term: dent                           Term Frequency: 2         
Term: demonstrate                    Term Frequency: 2         
Term: assessed                       Term Frequency: 2         
Term: throughout                     Term Frequency: 2         
Term: technology                     Term Frequency: 2         
Term: feedback                       Term Frequency: 2         
Term: guide                          Term Frequency: 2         
Term: following                      Term Frequency: 2         
Term: weak                           Term Frequency: 2         
Term: tency                          Term Frequency: 2         
Term: studenthas                     Term Frequency: 1         
Term: would                          Term Frequency: 1         
Term: standards                      Term Frequency: 1         
Term: circlesto                      Term Frequency: 1         
Term: example                        Term Frequency: 1         
Term: after                          Term Frequency: 1         
Term: connect                        Term Frequency: 1         
Term: onservers                      Term Frequency: 1         
Term: resume                         Term Frequency: 1         
