Term: mainly                         Term Frequency: 7         
Term: collection                     Term Frequency: 7         
Term: other                          Term Frequency: 7         
Term: conducted                      Term Frequency: 7         
Term: mouse                          Term Frequency: 7         
Term: described                      Term Frequency: 7         
Term: traces                         Term Frequency: 7         
Term: coefficients                   Term Frequency: 7         
Term: 0                              Term Frequency: 6         
Term: y                              Term Frequency: 6         
Term: use                            Term Frequency: 6         
Term: intensity                      Term Frequency: 6         
Term: 11                             Term Frequency: 6         
Term: variables                      Term Frequency: 6         
Term: interest                       Term Frequency: 6         
Term: dashboards                     Term Frequency: 6         
Term: etc                            Term Frequency: 6         
Term: might                          Term Frequency: 6         
Term: expressions                    Term Frequency: 6         
Term: language                       Term Frequency: 6         
Term: type                           Term Frequency: 6         
Term: understand                     Term Frequency: 6         
Term: colors                         Term Frequency: 6         
Term: her                            Term Frequency: 6         
Term: his                            Term Frequency: 6         
Term: according                      Term Frequency: 6         
Term: important                      Term Frequency: 6         
Term: report                         Term Frequency: 6         
Term: objective                      Term Frequency: 6         
Term: feedback                       Term Frequency: 6         
Term: respectively                   Term Frequency: 6         
Term: interactive                    Term Frequency: 6         
Term: may                            Term Frequency: 6         
Term: voice                          Term Frequency: 6         
Term: axis                           Term Frequency: 6         
Term: materials                      Term Frequency: 6         
Term: tool                           Term Frequency: 6         
Term: specific                       Term Frequency: 6         
Term: what                           Term Frequency: 6         
Term: levels                         Term Frequency: 6         
Term: interface                      Term Frequency: 6         
Term: psychology                     Term Frequency: 6         
Term: design                         Term Frequency: 6         
Term: group                          Term Frequency: 6         
Term: dedicated                      Term Frequency: 6         
Term: monitor                        Term Frequency: 6         
Term: aim                            Term Frequency: 6         
Term: body                           Term Frequency: 6         
Term: theories                       Term Frequency: 6         
Term: over                           Term Frequency: 6         
Term: d                              Term Frequency: 5         
Term: i                              Term Frequency: 5         
Term: illustrated                    Term Frequency: 5         
Term: question                       Term Frequency: 5         
Term: defined                        Term Frequency: 5         
Term: third                          Term Frequency: 5         
Term: training                       Term Frequency: 5         
Term: researchers                    Term Frequency: 5         
Term: combine                        Term Frequency: 5         
Term: 17                             Term Frequency: 5         
Term: 30                             Term Frequency: 5         
Term: work                           Term Frequency: 5         
Term: threshold                      Term Frequency: 5         
Term: via                            Term Frequency: 5         
Term: end                            Term Frequency: 5         
Term: called                         Term Frequency: 5         
Term: perception                     Term Frequency: 5         
Term: green                          Term Frequency: 5         
Term: web                            Term Frequency: 5         
Term: do                             Term Frequency: 5         
Term: placed                         Term Frequency: 5         
Term: four                           Term Frequency: 5         
Term: recent                         Term Frequency: 5         
Term: tools                          Term Frequency: 5         
Term: returned                       Term Frequency: 5         
Term: considered                     Term Frequency: 5         
Term: accordingly                    Term Frequency: 5         
Term: dissimilarities                Term Frequency: 5         
Term: collect                        Term Frequency: 5         
Term: application                    Term Frequency: 5         
Term: videoconferencing              Term Frequency: 5         
Term: show                           Term Frequency: 5         
Term: expressed                      Term Frequency: 5         
Term: technology                     Term Frequency: 5         
Term: left                           Term Frequency: 5         
Term: example                        Term Frequency: 5         
Term: comparison                     Term Frequency: 5         
Term: computed                       Term Frequency: 5         
Term: minutes                        Term Frequency: 5         
Term: domain                         Term Frequency: 5         
Term: human                          Term Frequency: 5         
Term: field                          Term Frequency: 5         
Term: achievement                    Term Frequency: 5         
Term: designed                       Term Frequency: 5         
Term: reporting                      Term Frequency: 5         
Term: investigate                    Term Frequency: 5         
Term: details                        Term Frequency: 5         
Term: examples                       Term Frequency: 5         
Term: line                           Term Frequency: 5         
Term: aims                           Term Frequency: 5         
Term: combined                       Term Frequency: 5         
Term: divided                        Term Frequency: 5         
Term: pdf                            Term Frequency: 5         
Term: service                        Term Frequency: 5         
Term: displayed                      Term Frequency: 5         
Term: identified                     Term Frequency: 5         
Term: heterogeneous                  Term Frequency: 5         
Term: experienced                    Term Frequency: 5         
Term: event                          Term Frequency: 5         
Term: track                          Term Frequency: 5         
Term: red                            Term Frequency: 5         
Term: recorded                       Term Frequency: 5         
Term: accurate                       Term Frequency: 5         
Term: increased                      Term Frequency: 5         
Term: display                        Term Frequency: 5         
Term: database                       Term Frequency: 5         
Term: model                          Term Frequency: 5         
Term: successful                     Term Frequency: 5         
Term: response                       Term Frequency: 5         
Term: n                              Term Frequency: 4         
Term: provided                       Term Frequency: 4         
Term: order                          Term Frequency: 4         
Term: comments                       Term Frequency: 4         
Term: activities                     Term Frequency: 4         
Term: socio                          Term Frequency: 4         
Term: measured                       Term Frequency: 4         
Term: acquisition                    Term Frequency: 4         
Term: right                          Term Frequency: 4         
Term: interval                       Term Frequency: 4         
Term: make                           Term Frequency: 4         
Term: 12                             Term Frequency: 4         
Term: 13                             Term Frequency: 4         
Term: 14                             Term Frequency: 4         
Term: 20                             Term Frequency: 4         
Term: 22                             Term Frequency: 4         
Term: 23                             Term Frequency: 4         
Term: many                           Term Frequency: 4         
Term: step                           Term Frequency: 4         
Term: exploration                    Term Frequency: 4         
Term: computers                      Term Frequency: 4         
Term: precisely                      Term Frequency: 4         
Term: abstraction                    Term Frequency: 4         
Term: represented                    Term Frequency: 4         
Term: than                           Term Frequency: 4         
Term: communication                  Term Frequency: 4         
Term: questionnaire                  Term Frequency: 4         
Term: sound                          Term Frequency: 4         
Term: dominant                       Term Frequency: 4         
Term: automatic                      Term Frequency: 4         
Term: updated                        Term Frequency: 4         
Term: applications                   Term Frequency: 4         
Term: you                            Term Frequency: 4         
Term: able                           Term Frequency: 4         
Term: present                        Term Frequency: 4         
Term: fact                           Term Frequency: 4         
Term: coordinates                    Term Frequency: 4         
Term: reactions                      Term Frequency: 4         
Term: foreign                        Term Frequency: 4         
Term: insights                       Term Frequency: 4         
Term: similarities                   Term Frequency: 4         
Term: offer                          Term Frequency: 4         
Term: focuses                        Term Frequency: 4         
Term: high                           Term Frequency: 4         
Term: interesting                    Term Frequency: 4         
Term: key                            Term Frequency: 4         
Term: once                           Term Frequency: 4         
Term: ones                           Term Frequency: 4         
Term: person                         Term Frequency: 4         
Term: object                         Term Frequency: 4         
Term: pilot                          Term Frequency: 4         
Term: well                           Term Frequency: 4         
Term: considering                    Term Frequency: 4         
Term: motivation                     Term Frequency: 4         
Term: equal                          Term Frequency: 4         
Term: particular                     Term Frequency: 4         
Term: easy                           Term Frequency: 4         
Term: added                          Term Frequency: 4         
Term: unimodal                       Term Frequency: 4         
Term: about                          Term Frequency: 4         
Term: displaying                     Term Frequency: 4         
Term: contains                       Term Frequency: 4         
Term: returns                        Term Frequency: 4         
Term: detailed                       Term Frequency: 4         
Term: approaches                     Term Frequency: 4         
Term: awareness                      Term Frequency: 4         
Term: list                           Term Frequency: 4         
Term: slider                         Term Frequency: 4         
Term: methods                        Term Frequency: 4         
Term: archive                        Term Frequency: 4         
Term: process                        Term Frequency: 4         
Term: 2015                           Term Frequency: 4         
Term: classifier                     Term Frequency: 4         
Term: file                           Term Frequency: 4         
Term: instance                       Term Frequency: 4         
Term: infer                          Term Frequency: 4         
Term: position                       Term Frequency: 4         
Term: measurements                   Term Frequency: 4         
Term: toolbar                        Term Frequency: 4         
Term: bottom                         Term Frequency: 4         
Term: array                          Term Frequency: 4         
Term: performance                    Term Frequency: 4         
Term: textual                        Term Frequency: 4         
Term: algorithm                      Term Frequency: 4         
Term: system                         Term Frequency: 4         
Term: implemented                    Term Frequency: 4         
Term: any                            Term Frequency: 4         
Term: synchronous                    Term Frequency: 4         
Term: where                          Term Frequency: 4         
Term: call                           Term Frequency: 4         
Term: through                        Term Frequency: 4         
Term: name                           Term Frequency: 4         
Term: set                            Term Frequency: 4         
Term: current                        Term Frequency: 4         
Term: 67389                          Term Frequency: 4         
Term: feature                        Term Frequency: 4         
Term: role                           Term Frequency: 3         
Term: x                              Term Frequency: 3         
Term: provides                       Term Frequency: 3         
Term: times                          Term Frequency: 3         
Term: reflection                     Term Frequency: 3         
Term: widely                         Term Frequency: 3         
Term: start                          Term Frequency: 3         
Term: text                           Term Frequency: 3         
Term: dp4                            Term Frequency: 3         
Term: stream                         Term Frequency: 3         
Term: continuous                     Term Frequency: 3         
Term: 15                             Term Frequency: 3         
Term: 25                             Term Frequency: 3         
Term: 26                             Term Frequency: 3         
Term: 28                             Term Frequency: 3         
Term: 31                             Term Frequency: 3         
Term: theory                         Term Frequency: 3         
Term: preparing                      Term Frequency: 3         
Term: measurement                    Term Frequency: 3         
Term: intrusive                      Term Frequency: 3         
Term: 4.2                            Term Frequency: 3         
Term: visualize                      Term Frequency: 3         
Term: skills                         Term Frequency: 3         
Term: huge                           Term Frequency: 3         
Term: improving                      Term Frequency: 3         
Term: next                           Term Frequency: 3         
Term: al                             Term Frequency: 3         
Term: et                             Term Frequency: 3         
Term: vocal                          Term Frequency: 3         
Term: easily                         Term Frequency: 3         
Term: likely                         Term Frequency: 3         
Term: entry                          Term Frequency: 3         
Term: student                        Term Frequency: 3         
Term: decision                       Term Frequency: 3         
Term: vs                             Term Frequency: 3         
Term: beyond                         Term Frequency: 3         
Term: create                         Term Frequency: 3         
Term: purpose                        Term Frequency: 3         
Term: bubbles                        Term Frequency: 3         
Term: area                           Term Frequency: 3         
Term: channel                        Term Frequency: 3         
Term: particularly                   Term Frequency: 3         
Term: last                           Term Frequency: 3         
Term: small                          Term Frequency: 3         
Term: answer                         Term Frequency: 3         
Term: tracking                       Term Frequency: 3         
Term: steps                          Term Frequency: 3         
Term: concerning                     Term Frequency: 3         
Term: showed                         Term Frequency: 3         
Term: fusion                         Term Frequency: 3         
Term: identify                       Term Frequency: 3         
Term: satisfaction                   Term Frequency: 3         
Term: points                         Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: facilitate                     Term Frequency: 3         
Term: universal                      Term Frequency: 3         
Term: either                         Term Frequency: 3         
Term: hence                          Term Frequency: 3         
Term: architecture                   Term Frequency: 3         
Term: corresponds                    Term Frequency: 3         
Term: opted                          Term Frequency: 3         
Term: sources                        Term Frequency: 3         
Term: related                        Term Frequency: 3         
Term: sign                           Term Frequency: 3         
Term: horizontal                     Term Frequency: 3         
Term: records                        Term Frequency: 3         
Term: following                      Term Frequency: 3         
Term: comparing                      Term Frequency: 3         
Term: making                         Term Frequency: 3         
Term: applied                        Term Frequency: 3         
Term: produce                        Term Frequency: 3         
Term: less                           Term Frequency: 3         
Term: technique                      Term Frequency: 3         
Term: provide                        Term Frequency: 3         
Term: low                            Term Frequency: 3         
Term: depending                      Term Frequency: 3         
Term: down                           Term Frequency: 3         
Term: regarding                      Term Frequency: 3         
Term: rather                         Term Frequency: 3         
Term: entries                        Term Frequency: 3         
Term: oriented                       Term Frequency: 3         
Term: above                          Term Frequency: 3         
Term: felt                           Term Frequency: 3         
Term: include                        Term Frequency: 3         
Term: dimensions                     Term Frequency: 3         
Term: valences                       Term Frequency: 3         
Term: offset                         Term Frequency: 3         
Term: detail                         Term Frequency: 3         
Term: decreased                      Term Frequency: 3         
Term: detected                       Term Frequency: 3         
Term: hovers                         Term Frequency: 3         
Term: supported                      Term Frequency: 3         
Term: enables                        Term Frequency: 3         
Term: width                          Term Frequency: 3         
Term: along                          Term Frequency: 3         
Term: user                           Term Frequency: 3         
Term: tooltip                        Term Frequency: 3         
Term: issue                          Term Frequency: 3         
Term: dependency                     Term Frequency: 3         
Term: oral                           Term Frequency: 3         
Term: chosen                         Term Frequency: 3         
Term: allows                         Term Frequency: 3         
Term: speaking                       Term Frequency: 3         
Term: drop                           Term Frequency: 3         
Term: software                       Term Frequency: 3         
Term: unified                        Term Frequency: 3         
Term: development                    Term Frequency: 3         
Term: chatting                       Term Frequency: 3         
Term: frames                         Term Frequency: 3         
Term: blue                           Term Frequency: 3         
Term: weighted                       Term Frequency: 3         
Term: linear                         Term Frequency: 3         
Term: pie                            Term Frequency: 3         
Term: simplified                     Term Frequency: 3         
Term: given                          Term Frequency: 3         
Term: correlated                     Term Frequency: 3         
Term: overview                       Term Frequency: 3         
Term: consisted                      Term Frequency: 3         
Term: 2010                           Term Frequency: 3         
Term: 2007                           Term Frequency: 3         
Term: 2016                           Term Frequency: 3         
Term: inside                         Term Frequency: 3         
Term: inferred                       Term Frequency: 3         
Term: future                         Term Frequency: 3         
Term: inferring                      Term Frequency: 3         
Term: varying                        Term Frequency: 3         
Term: experimental                   Term Frequency: 3         
Term: simple                         Term Frequency: 3         
Term: extracted                      Term Frequency: 3         
Term: scheme                         Term Frequency: 3         
Term: sub                            Term Frequency: 3         
Term: express                        Term Frequency: 3         
Term: frequency                      Term Frequency: 3         
Term: idea                           Term Frequency: 3         
Term: ten                            Term Frequency: 2         
Term: squared                        Term Frequency: 2         
Term: powered                        Term Frequency: 2         
Term: good                           Term Frequency: 2         
Term: empty                          Term Frequency: 2         
Term: effective                      Term Frequency: 2         
Term: creating                       Term Frequency: 2         
Term: think                          Term Frequency: 2         
Term: speech                         Term Frequency: 2         
Term: technologies                   Term Frequency: 2         
Term: stacked                        Term Frequency: 2         
Term: introduction                   Term Frequency: 2         
Term: build                          Term Frequency: 2         
Term: further                        Term Frequency: 2         
Term: compare                        Term Frequency: 2         
Term: stage                          Term Frequency: 2         
Term: did                            Term Frequency: 2         
Term: finally                        Term Frequency: 2         
Term: showing                        Term Frequency: 2         
Term: dp1                            Term Frequency: 2         
Term: being                          Term Frequency: 2         
Term: snapshot                       Term Frequency: 2         
Term: rapidly                        Term Frequency: 2         
Term: empirical                      Term Frequency: 2         
Term: interpretations                Term Frequency: 2         
Term: 16                             Term Frequency: 2         
Term: 18                             Term Frequency: 2         
Term: 19                             Term Frequency: 2         
Term: highest                        Term Frequency: 2         
Term: 21                             Term Frequency: 2         
Term: 24                             Term Frequency: 2         
Term: 29                             Term Frequency: 2         
Term: relationship                   Term Frequency: 2         
Term: expression                     Term Frequency: 2         
Term: 50                             Term Frequency: 2         
Term: coefficient                    Term Frequency: 2         
Term: needed                         Term Frequency: 2         
Term: apply                          Term Frequency: 2         
Term: formula                        Term Frequency: 2         
Term: 97                             Term Frequency: 2         
Term: community                      Term Frequency: 2         
Term: representing                   Term Frequency: 2         
Term: need                           Term Frequency: 2         
Term: shape                          Term Frequency: 2         
Term: authors                        Term Frequency: 2         
Term: strategy                       Term Frequency: 2         
Term: correlations                   Term Frequency: 2         
Term: eye                            Term Frequency: 2         
Term: technological                  Term Frequency: 2         
Term: donut                          Term Frequency: 2         
Term: leads                          Term Frequency: 2         
Term: fields                         Term Frequency: 2         
Term: factor                         Term Frequency: 2         
Term: way                            Term Frequency: 2         
Term: quickly                        Term Frequency: 2         
Term: explore                        Term Frequency: 2         
Term: grid                           Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: crucial                        Term Frequency: 2         
Term: observe                        Term Frequency: 2         
Term: patterns                       Term Frequency: 2         
Term: hover                          Term Frequency: 2         
Term: form                           Term Frequency: 2         
Term: triggered                      Term Frequency: 2         
Term: author                         Term Frequency: 2         
Term: so                             Term Frequency: 2         
Term: analyzed                       Term Frequency: 2         
Term: commercial                     Term Frequency: 2         
Term: us                             Term Frequency: 2         
Term: changes                        Term Frequency: 2         
Term: terms                          Term Frequency: 2         
Term: addresses                      Term Frequency: 2         
Term: sent                           Term Frequency: 2         
Term: techniques                     Term Frequency: 2         
Term: regret                         Term Frequency: 2         
Term: factors                        Term Frequency: 2         
Term: questionnaires                 Term Frequency: 2         
Term: without                        Term Frequency: 2         
Term: i.e                            Term Frequency: 2         
Term: classroom                      Term Frequency: 2         
Term: input                          Term Frequency: 2         
Term: must                           Term Frequency: 2         
Term: values                         Term Frequency: 2         
Term: reveals                        Term Frequency: 2         
Term: dimension                      Term Frequency: 2         
Term: mean                           Term Frequency: 2         
Term: visualized                     Term Frequency: 2         
Term: beginning                      Term Frequency: 2         
Term: menu                           Term Frequency: 2         
Term: spectral                       Term Frequency: 2         
Term: principles                     Term Frequency: 2         
Term: regulation                     Term Frequency: 2         
Term: functional                     Term Frequency: 2         
Term: thorough                       Term Frequency: 2         
Term: characteristics                Term Frequency: 2         
Term: icons                          Term Frequency: 2         
Term: tracked                        Term Frequency: 2         
Term: 3.1.2                          Term Frequency: 2         
