Term: relation                       Term Frequency: 4         
Term: because                        Term Frequency: 4         
Term: often                          Term Frequency: 4         
Term: stored                         Term Frequency: 4         
Term: why                            Term Frequency: 4         
Term: attention                      Term Frequency: 4         
Term: https                          Term Frequency: 4         
Term: ability                        Term Frequency: 4         
Term: while                          Term Frequency: 4         
Term: student                        Term Frequency: 4         
Term: re                             Term Frequency: 4         
Term: started                        Term Frequency: 4         
Term: type                           Term Frequency: 4         
Term: get                            Term Frequency: 4         
Term: course                         Term Frequency: 4         
Term: core                           Term Frequency: 4         
Term: proposed                       Term Frequency: 4         
Term: queries                        Term Frequency: 4         
Term: formats                        Term Frequency: 4         
Term: perform                        Term Frequency: 4         
Term: ments                          Term Frequency: 4         
Term: performing                     Term Frequency: 4         
Term: events                         Term Frequency: 4         
Term: must                           Term Frequency: 4         
Term: pro                            Term Frequency: 4         
Term: time                           Term Frequency: 4         
Term: tion                           Term Frequency: 4         
Term: ld.org                         Term Frequency: 4         
Term: 2013                           Term Frequency: 4         
Term: based                          Term Frequency: 4         
Term: processing                     Term Frequency: 4         
Term: collection                     Term Frequency: 4         
Term: aggregate                      Term Frequency: 4         
Term: extensions                     Term Frequency: 4         
Term: system                         Term Frequency: 4         
Term: more                           Term Frequency: 4         
Term: over                           Term Frequency: 4         
Term: metadata                       Term Frequency: 4         
Term: key                            Term Frequency: 4         
Term: store                          Term Frequency: 4         
Term: only                           Term Frequency: 4         
Term: should                         Term Frequency: 4         
Term: readable                       Term Frequency: 4         
Term: 6                              Term Frequency: 3         
Term: 8                              Term Frequency: 3         
Term: 9                              Term Frequency: 3         
Term: hasbeen                        Term Frequency: 3         
Term: provided                       Term Frequency: 3         
Term: representation                 Term Frequency: 3         
Term: multiple                       Term Frequency: 3         
Term: tween                          Term Frequency: 3         
Term: platforms                      Term Frequency: 3         
Term: docu                           Term Frequency: 3         
Term: does                           Term Frequency: 3         
Term: requires                       Term Frequency: 3         
Term: ontologies                     Term Frequency: 3         
Term: text                           Term Frequency: 3         
Term: subject                        Term Frequency: 3         
Term: main                           Term Frequency: 3         
Term: make                           Term Frequency: 3         
Term: included                       Term Frequency: 3         
Term: 09                             Term Frequency: 3         
Term: 14                             Term Frequency: 3         
Term: open                           Term Frequency: 3         
Term: 47                             Term Frequency: 3         
Term: modelling                      Term Frequency: 3         
Term: common                         Term Frequency: 3         
Term: adjacency                      Term Frequency: 3         
Term: mapping                        Term Frequency: 3         
Term: dimen                          Term Frequency: 3         
Term: might                          Term Frequency: 3         
Term: devinfo                        Term Frequency: 3         
Term: fields                         Term Frequency: 3         
Term: contextual                     Term Frequency: 3         
Term: web                            Term Frequency: 3         
Term: designed                       Term Frequency: 3         
Term: uses                           Term Frequency: 3         
Term: user                           Term Frequency: 3         
Term: ce                             Term Frequency: 3         
Term: ex                             Term Frequency: 3         
Term: frame                          Term Frequency: 3         
Term: variety                        Term Frequency: 3         
Term: vs                             Term Frequency: 3         
Term: our                            Term Frequency: 3         
Term: adlnet                         Term Frequency: 3         
Term: blob                           Term Frequency: 3         
Term: without                        Term Frequency: 3         
Term: list                           Term Frequency: 3         
Term: lack                           Term Frequency: 3         
Term: functionality                  Term Frequency: 3         
Term: verbs                          Term Frequency: 3         
Term: video                          Term Frequency: 3         
Term: point                          Term Frequency: 3         
Term: attendance                     Term Frequency: 3         
Term: knowledge                      Term Frequency: 3         
Term: represent                      Term Frequency: 3         
Term: reply                          Term Frequency: 3         
Term: machine                        Term Frequency: 3         
Term: xapi.trainingevidencesystems.com Term Frequency: 3         
Term: sentiment                      Term Frequency: 3         
Term: master                         Term Frequency: 3         
Term: designing                      Term Frequency: 3         
Term: discussions                    Term Frequency: 3         
Term: threaded                       Term Frequency: 3         
Term: vocabulary                     Term Frequency: 3         
Term: its                            Term Frequency: 3         
Term: registry.tincanapi.com         Term Frequency: 3         
Term: decisions                      Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: containing                     Term Frequency: 3         
Term: where                          Term Frequency: 3         
Term: database                       Term Frequency: 3         
Term: related                        Term Frequency: 3         
Term: makingbetter.us                Term Frequency: 3         
Term: lessons                        Term Frequency: 3         
Term: available                      Term Frequency: 3         
Term: blog.saltbox.com               Term Frequency: 3         
Term: records                        Term Frequency: 3         
Term: cient                          Term Frequency: 3         
Term: www.ibase.ru                   Term Frequency: 3         
Term: inclusion                      Term Frequency: 3         
Term: 0                              Term Frequency: 2         
Term: role                           Term Frequency: 2         
Term: tla                            Term Frequency: 2         
Term: propose                        Term Frequency: 2         
Term: com                            Term Frequency: 2         
Term: including                      Term Frequency: 2         
Term: improve                        Term Frequency: 2         
Term: state                          Term Frequency: 2         
Term: creating                       Term Frequency: 2         
Term: items                          Term Frequency: 2         
Term: cur                            Term Frequency: 2         
Term: two                            Term Frequency: 2         
Term: source                         Term Frequency: 2         
Term: technologies                   Term Frequency: 2         
Term: grouping                       Term Frequency: 2         
Term: means                          Term Frequency: 2         
Term: performed                      Term Frequency: 2         
Term: day                            Term Frequency: 2         
Term: particular                     Term Frequency: 2         
Term: instructor                     Term Frequency: 2         
Term: built                          Term Frequency: 2         
Term: profile                        Term Frequency: 2         
Term: mentions                       Term Frequency: 2         
Term: oflearning                     Term Frequency: 2         
Term: field                          Term Frequency: 2         
Term: mention                        Term Frequency: 2         
Term: cult                           Term Frequency: 2         
Term: known                          Term Frequency: 2         
Term: liked                          Term Frequency: 2         
Term: likes                          Term Frequency: 2         
