Term: trigger                        Term Frequency: 8         
Term: only                           Term Frequency: 8         
Term: would                          Term Frequency: 8         
Term: applied                        Term Frequency: 8         
Term: textbook                       Term Frequency: 8         
Term: science                        Term Frequency: 8         
Term: support                        Term Frequency: 8         
Term: per                            Term Frequency: 8         
Term: engaged                        Term Frequency: 8         
Term: some                           Term Frequency: 8         
Term: negative                       Term Frequency: 8         
Term: display                        Term Frequency: 8         
Term: both                           Term Frequency: 8         
Term: compared                       Term Frequency: 8         
Term: over                           Term Frequency: 8         
Term: provided                       Term Frequency: 7         
Term: question                       Term Frequency: 7         
Term: including                      Term Frequency: 7         
Term: introduction                   Term Frequency: 7         
Term: further                        Term Frequency: 7         
Term: highest                        Term Frequency: 7         
Term: authors                        Term Frequency: 7         
Term: while                          Term Frequency: 7         
Term: second                         Term Frequency: 7         
Term: mixed                          Term Frequency: 7         
Term: terms                          Term Frequency: 7         
Term: brain                          Term Frequency: 7         
Term: here                           Term Frequency: 7         
Term: engaging                       Term Frequency: 7         
Term: thus                           Term Frequency: 7         
Term: adopted                        Term Frequency: 7         
Term: corpus                         Term Frequency: 7         
Term: although                       Term Frequency: 7         
Term: educational                    Term Frequency: 7         
Term: daily                          Term Frequency: 7         
Term: words                          Term Frequency: 7         
Term: developed                      Term Frequency: 7         
Term: studies                        Term Frequency: 7         
Term: posttest                       Term Frequency: 7         
Term: size                           Term Frequency: 7         
Term: less                           Term Frequency: 7         
Term: were                           Term Frequency: 7         
Term: dataset                        Term Frequency: 7         
Term: computer                       Term Frequency: 7         
Term: ideas                          Term Frequency: 7         
Term: oriented                       Term Frequency: 7         
Term: technical                      Term Frequency: 7         
Term: effects                        Term Frequency: 7         
Term: groups                         Term Frequency: 7         
Term: kinds                          Term Frequency: 7         
Term: pre                            Term Frequency: 7         
Term: methods                        Term Frequency: 7         
Term: explain                        Term Frequency: 7         
Term: machine                        Term Frequency: 7         
Term: any                            Term Frequency: 7         
Term: case                           Term Frequency: 7         
Term: being                          Term Frequency: 6         
Term: subject                        Term Frequency: 6         
Term: observed                       Term Frequency: 6         
Term: 11                             Term Frequency: 6         
Term: interest                       Term Frequency: 6         
Term: might                          Term Frequency: 6         
Term: way                            Term Frequency: 6         
Term: language                       Term Frequency: 6         
Term: do                             Term Frequency: 6         
Term: pp                             Term Frequency: 6         
Term: up                             Term Frequency: 6         
Term: previous                       Term Frequency: 6         
Term: earlier                        Term Frequency: 6         
Term: difference                     Term Frequency: 6         
Term: inference                      Term Frequency: 6         
Term: phenomenon                     Term Frequency: 6         
Term: present                        Term Frequency: 6         
Term: overt                          Term Frequency: 6         
Term: those                          Term Frequency: 6         
Term: referring                      Term Frequency: 6         
Term: provide                        Term Frequency: 6         
Term: low                            Term Frequency: 6         
Term: open                           Term Frequency: 6         
Term: displaying                     Term Frequency: 6         
Term: contains                       Term Frequency: 6         
Term: when                           Term Frequency: 6         
Term: very                           Term Frequency: 6         
Term: analyses                       Term Frequency: 6         
Term: within                         Term Frequency: 6         
Term: task                           Term Frequency: 6         
Term: processes                      Term Frequency: 6         
Term: matched                        Term Frequency: 6         
Term: mental                         Term Frequency: 6         
Term: passive                        Term Frequency: 6         
Term: journal                        Term Frequency: 5         
Term: stage                          Term Frequency: 5         
Term: learnt                         Term Frequency: 5         
Term: final                          Term Frequency: 5         
Term: clicks                         Term Frequency: 5         
Term: weights                        Term Frequency: 5         
Term: 12                             Term Frequency: 5         
Term: 16                             Term Frequency: 5         
