Term: dis                            Term Frequency: 2         
Term: owner                          Term Frequency: 2         
Term: six                            Term Frequency: 2         
Term: trajectory                     Term Frequency: 2         
Term: 2017                           Term Frequency: 2         
Term: predicting                     Term Frequency: 2         
Term: may                            Term Frequency: 2         
Term: logs                           Term Frequency: 2         
Term: author                         Term Frequency: 2         
Term: comprised                      Term Frequency: 2         
Term: online                         Term Frequency: 2         
Term: observed                       Term Frequency: 2         
Term: 10                             Term Frequency: 2         
Term: one                            Term Frequency: 2         
Term: available                      Term Frequency: 2         
Term: up                             Term Frequency: 2         
Term: annotated                      Term Frequency: 2         
Term: 95                             Term Frequency: 2         
Term: preliminary                    Term Frequency: 2         
Term: proach                         Term Frequency: 2         
Term: math                           Term Frequency: 2         
Term: tutoring                       Term Frequency: 2         
Term: individual                     Term Frequency: 2         
Term: can                            Term Frequency: 2         
Term: confidence                     Term Frequency: 2         
Term: response                       Term Frequency: 2         
Term: interacting                    Term Frequency: 1         
Term: notas                          Term Frequency: 1         
Term: without                        Term Frequency: 1         
Term: via                            Term Frequency: 1         
Term: ted                            Term Frequency: 1         
Term: solid                          Term Frequency: 1         
Term: community                      Term Frequency: 1         
Term: version                        Term Frequency: 1         
Term: apparent                       Term Frequency: 1         
Term: 0                              Term Frequency: 1         
Term: science                        Term Frequency: 1         
Term: 7                              Term Frequency: 1         
Term: 8                              Term Frequency: 1         
Term: 9                              Term Frequency: 1         
Term: learningtrajectories           Term Frequency: 1         
Term: roll                           Term Frequency: 1         
Term: subsequently                   Term Frequency: 1         
Term: formance                       Term Frequency: 1         
Term: same                           Term Frequency: 1         
Term: after                          Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: ordered                        Term Frequency: 1         
Term: consisting                     Term Frequency: 1         
Term: characterize                   Term Frequency: 1         
Term: indices                        Term Frequency: 1         
Term: interventions                  Term Frequency: 1         
Term: blue                           Term Frequency: 1         
Term: readilyinterpreted             Term Frequency: 1         
Term: correct                        Term Frequency: 1         
Term: orclassroom                    Term Frequency: 1         
Term: good                           Term Frequency: 1         
Term: decomposing                    Term Frequency: 1         
Term: analytics                      Term Frequency: 1         
Term: red                            Term Frequency: 1         
Term: compute                        Term Frequency: 1         
Term: almostflat                     Term Frequency: 1         
Term: par                            Term Frequency: 1         
Term: polynomials                    Term Frequency: 1         
Term: often                          Term Frequency: 1         
Term: representsa                    Term Frequency: 1         
Term: http                           Term Frequency: 1         
Term: memberships                    Term Frequency: 1         
Term: usedto                         Term Frequency: 1         
Term: mixture                        Term Frequency: 1         
Term: provides                       Term Frequency: 1         
Term: fective                        Term Frequency: 1         
Term: standardized                   Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: lines                          Term Frequency: 1         
Term: multiple                       Term Frequency: 1         
Term: noted                          Term Frequency: 1         
Term: tains                          Term Frequency: 1         
Term: accuracies                     Term Frequency: 1         
Term: well                           Term Frequency: 1         
Term: achieved                       Term Frequency: 1         
Term: named                          Term Frequency: 1         
Term: accessed                       Term Frequency: 1         
Term: ries                           Term Frequency: 1         
Term: number                         Term Frequency: 1         
Term: experiment                     Term Frequency: 1         
Term: per                            Term Frequency: 1         
Term: order                          Term Frequency: 1         
