Term: number                         Term Frequency: 12        
Term: estimated                      Term Frequency: 12        
Term: important                      Term Frequency: 12        
Term: between                        Term Frequency: 12        
Term: example                        Term Frequency: 12        
Term: some                           Term Frequency: 12        
Term: 2013                           Term Frequency: 12        
Term: online                         Term Frequency: 12        
Term: processing                     Term Frequency: 12        
Term: most                           Term Frequency: 12        
Term: 0.15                           Term Frequency: 11        
Term: 0.26                           Term Frequency: 11        
Term: computers                      Term Frequency: 11        
Term: its                            Term Frequency: 11        
Term: log                            Term Frequency: 11        
Term: outliers                       Term Frequency: 11        
Term: messages                       Term Frequency: 11        
Term: cognitive                      Term Frequency: 11        
Term: several                        Term Frequency: 11        
Term: 8                              Term Frequency: 10        
Term: i                              Term Frequency: 10        
Term: activities                     Term Frequency: 10        
Term: journal                        Term Frequency: 10        
Term: 0.34                           Term Frequency: 10        
Term: 60                             Term Frequency: 10        
Term: best                           Term Frequency: 10        
Term: l10                            Term Frequency: 10        
Term: should                         Term Frequency: 10        
Term: minutes                        Term Frequency: 10        
Term: effects                        Term Frequency: 10        
Term: very                           Term Frequency: 10        
Term: activity                       Term Frequency: 10        
Term: presence                       Term Frequency: 10        
Term: 2010                           Term Frequency: 10        
Term: 2009                           Term Frequency: 10        
Term: message                        Term Frequency: 10        
Term: 0.1                            Term Frequency: 10        
Term: usage                          Term Frequency: 10        
Term: participation                  Term Frequency: 10        
Term: typically                      Term Frequency: 10        
Term: coefficients                   Term Frequency: 10        
Term: two                            Term Frequency: 9         
Term: average                        Term Frequency: 9         
Term: 13                             Term Frequency: 9         
Term: 14                             Term Frequency: 9         
Term: long                           Term Frequency: 9         
Term: differences                    Term Frequency: 9         
Term: ii                             Term Frequency: 9         
Term: measure                        Term Frequency: 9         
Term: discussions                    Term Frequency: 9         
Term: total                          Term Frequency: 9         
Term: computer                       Term Frequency: 9         
Term: similar                        Term Frequency: 9         
Term: analysis                       Term Frequency: 9         
Term: extraction                     Term Frequency: 9         
Term: methods                        Term Frequency: 9         
Term: 9                              Term Frequency: 8         
Term: multiple                       Term Frequency: 8         
Term: third                          Term Frequency: 8         
Term: 0.21                           Term Frequency: 8         
Term: 12                             Term Frequency: 8         
Term: 38                             Term Frequency: 8         
Term: obtained                       Term Frequency: 8         
Term: reading                        Term Frequency: 8         
Term: thus                           Term Frequency: 8         
Term: has                            Term Frequency: 8         
Term: using                          Term Frequency: 8         
Term: longer                         Term Frequency: 8         
Term: l30                            Term Frequency: 8         
Term: l60                            Term Frequency: 8         
Term: heuristics                     Term Frequency: 8         
Term: provide                        Term Frequency: 8         
Term: extracted                      Term Frequency: 8         
Term: same                           Term Frequency: 7         
Term: better                         Term Frequency: 7         
