Term: n                              Term Frequency: 9         
Term: academic                       Term Frequency: 9         
Term: cohesion                       Term Frequency: 9         
Term: quality                        Term Frequency: 9         
Term: which                          Term Frequency: 9         
Term: automated                      Term Frequency: 9         
Term: based                          Term Frequency: 9         
Term: from                           Term Frequency: 9         
Term: 6                              Term Frequency: 8         
Term: background                     Term Frequency: 8         
Term: student’s                      Term Frequency: 8         
Term: specific                       Term Frequency: 8         
Term: section                        Term Frequency: 8         
Term: been                           Term Frequency: 8         
Term: 2016                           Term Frequency: 8         
Term: order                          Term Frequency: 7         
Term: computational                  Term Frequency: 7         
Term: may                            Term Frequency: 7         
Term: levels                         Term Frequency: 7         
Term: type                           Term Frequency: 7         
Term: thus                           Term Frequency: 7         
Term: linguistic                     Term Frequency: 7         
Term: analysing                      Term Frequency: 7         
Term: knowledge                      Term Frequency: 7         
Term: 2009                           Term Frequency: 7         
Term: steps                          Term Frequency: 7         
Term: present                        Term Frequency: 7         
Term: sentence                       Term Frequency: 7         
Term: level                          Term Frequency: 7         
Term: applied                        Term Frequency: 6         
Term: question                       Term Frequency: 6         
Term: each                           Term Frequency: 6         
Term: dataset                        Term Frequency: 6         
Term: ideas                          Term Frequency: 6         
Term: collaborative                  Term Frequency: 6         
Term: conclusion                     Term Frequency: 6         
Term: topic                          Term Frequency: 6         
Term: ways                           Term Frequency: 6         
Term: processes                      Term Frequency: 6         
Term: processing                     Term Frequency: 6         
Term: argumentative                  Term Frequency: 6         
Term: linguistics                    Term Frequency: 6         
Term: paper                          Term Frequency: 6         
Term: textual                        Term Frequency: 6         
Term: educational                    Term Frequency: 6         
Term: other                          Term Frequency: 6         
Term: all                            Term Frequency: 6         
Term: discourse                      Term Frequency: 6         
Term: pattern                        Term Frequency: 6         
Term: important                      Term Frequency: 6         
Term: indicate                       Term Frequency: 6         
Term: natural                        Term Frequency: 6         
Term: argument                       Term Frequency: 6         
Term: y                              Term Frequency: 5         
Term: were                           Term Frequency: 5         
Term: use                            Term Frequency: 5         
Term: 12                             Term Frequency: 5         
Term: 33                             Term Frequency: 5         
Term: strategies                     Term Frequency: 5         
Term: across                         Term Frequency: 5         
Term: similar                        Term Frequency: 5         
Term: literature                     Term Frequency: 5         
Term: essay                          Term Frequency: 5         
Term: intelligent                    Term Frequency: 5         
Term: treated                        Term Frequency: 5         
Term: occur                          Term Frequency: 5         
Term: position                       Term Frequency: 5         
Term: introductions                  Term Frequency: 5         
Term: first                          Term Frequency: 5         
Term: insights                       Term Frequency: 5         
Term: indicators                     Term Frequency: 5         
Term: its                            Term Frequency: 5         
Term: conducted                      Term Frequency: 5         
Term: those                          Term Frequency: 5         
Term: both                           Term Frequency: 5         
Term: different                      Term Frequency: 5         
Term: between                        Term Frequency: 5         
Term: elements                       Term Frequency: 5         
Term: describing                     Term Frequency: 5         
Term: 5                              Term Frequency: 4         
Term: ordered                        Term Frequency: 4         
Term: document                       Term Frequency: 4         
Term: extant                         Term Frequency: 4         
Term: specifically                   Term Frequency: 4         
Term: provide                        Term Frequency: 4         
Term: regarding                      Term Frequency: 4         
Term: cohort                         Term Frequency: 4         
Term: human                          Term Frequency: 4         
Term: lists                          Term Frequency: 4         
Term: about                          Term Frequency: 4         
Term: above                          Term Frequency: 4         
Term: 13                             Term Frequency: 4         
Term: 17                             Term Frequency: 4         
Term: 21                             Term Frequency: 4         
