Term: learning                       Term Frequency: 167       
Term: data                           Term Frequency: 147       
Term: indicators                     Term Frequency: 105       
Term: students                       Term Frequency: 95        
Term: questions                      Term Frequency: 68        
Term: student                        Term Frequency: 63        
Term: teachers                       Term Frequency: 63        
Term: we                             Term Frequency: 59        
Term: research                       Term Frequency: 57        
Term: how                            Term Frequency: 56        
Term: analytics                      Term Frequency: 48        
Term: analysis                       Term Frequency: 46        
Term: tools                          Term Frequency: 45        
Term: which                          Term Frequency: 42        
Term: teacher                        Term Frequency: 40        
Term: per                            Term Frequency: 39        
Term: course                         Term Frequency: 38        
Term: from                           Term Frequency: 36        
Term: our                            Term Frequency: 36        
Term: teaching                       Term Frequency: 33        
Term: 1                              Term Frequency: 32        
Term: have                           Term Frequency: 32        
Term: impact                         Term Frequency: 32        
Term: can                            Term Frequency: 32        
Term: could                          Term Frequency: 31        
Term: activities                     Term Frequency: 30        
Term: action                         Term Frequency: 30        
Term: number                         Term Frequency: 29        
Term: indicator                      Term Frequency: 28        
Term: e                              Term Frequency: 26        
Term: specific                       Term Frequency: 26        
Term: group                          Term Frequency: 26        
Term: process                        Term Frequency: 24        
Term: based                          Term Frequency: 23        
Term: online                         Term Frequency: 23        
Term: about                          Term Frequency: 22        
Term: used                           Term Frequency: 22        
Term: 2012                           Term Frequency: 22        
Term: information                    Term Frequency: 21        
Term: 58                             Term Frequency: 21        
Term: tool                           Term Frequency: 21        
Term: 2011                           Term Frequency: 21        
Term: resources                      Term Frequency: 21        
Term: more                           Term Frequency: 21        
Term: use                            Term Frequency: 20        
Term: time                           Term Frequency: 20        
Term: e.g                            Term Frequency: 19        
Term: should                         Term Frequency: 19        
Term: behavior                       Term Frequency: 19        
Term: examples                       Term Frequency: 19        
Term: usage                          Term Frequency: 19        
Term: also                           Term Frequency: 19        
Term: do                             Term Frequency: 18        
Term: using                          Term Frequency: 18        
Term: related                        Term Frequency: 18        
Term: support                        Term Frequency: 18        
Term: 2007                           Term Frequency: 18        
Term: methods                        Term Frequency: 17        
Term: evaluation                     Term Frequency: 17        
Term: category                       Term Frequency: 17        
Term: 3                              Term Frequency: 16        
Term: each                           Term Frequency: 16        
Term: provide                        Term Frequency: 16        
Term: academic                       Term Frequency: 15        
Term: offerings                      Term Frequency: 15        
Term: might                          Term Frequency: 15        
Term: qualitative                    Term Frequency: 15        
Term: available                      Term Frequency: 15        
Term: one                            Term Frequency: 15        
Term: other                          Term Frequency: 15        
Term: c                              Term Frequency: 14        
Term: 51                             Term Frequency: 14        
Term: need                           Term Frequency: 14        
Term: self                           Term Frequency: 14        
Term: sources                        Term Frequency: 14        
Term: activity                       Term Frequency: 14        
Term: design                         Term Frequency: 14        
Term: table                          Term Frequency: 14        
Term: several                        Term Frequency: 14        
Term: 2                              Term Frequency: 13        
Term: b                              Term Frequency: 13        
Term: researchers                    Term Frequency: 13        
Term: 41                             Term Frequency: 13        
Term: 2010                           Term Frequency: 13        
Term: performance                    Term Frequency: 13        
Term: question                       Term Frequency: 12        
Term: quantitative                   Term Frequency: 12        
Term: 11                             Term Frequency: 12        
Term: generated                      Term Frequency: 12        
Term: study                          Term Frequency: 12        
Term: section                        Term Frequency: 12        
Term: context                        Term Frequency: 12        
Term: reflect                        Term Frequency: 12        
Term: different                      Term Frequency: 12        
Term: individual                     Term Frequency: 12        
Term: system                         Term Frequency: 12        
Term: participation                  Term Frequency: 12        
Term: reflection                     Term Frequency: 11        
Term: 49                             Term Frequency: 11        
Term: 55                             Term Frequency: 11        
Term: mining                         Term Frequency: 11        
Term: users                          Term Frequency: 11        
Term: discussion                     Term Frequency: 11        
Term: yet                            Term Frequency: 11        
Term: been                           Term Frequency: 11        
Term: categorization                 Term Frequency: 11        
Term: well                           Term Frequency: 11        
Term: interaction                    Term Frequency: 11        
Term: include                        Term Frequency: 11        
Term: what                           Term Frequency: 11        
Term: explicitly                     Term Frequency: 11        
Term: findings                       Term Frequency: 10        
Term: did                            Term Frequency: 10        
Term: monitoring                     Term Frequency: 10        
Term: systems                        Term Frequency: 10        
Term: content                        Term Frequency: 10        
Term: them                           Term Frequency: 10        
Term: has                            Term Frequency: 10        
Term: present                        Term Frequency: 10        
Term: educational                    Term Frequency: 10        
Term: profile                        Term Frequency: 10        
Term: goals                          Term Frequency: 10        
Term: knowledge                      Term Frequency: 10        
Term: answered                       Term Frequency: 10        
Term: cannot                         Term Frequency: 10        
Term: interactions                   Term Frequency: 10        
Term: see                            Term Frequency: 10        
Term: 4                              Term Frequency: 9         
Term: same                           Term Frequency: 9         
Term: 26                             Term Frequency: 9         
Term: issues                         Term Frequency: 9         
Term: while                          Term Frequency: 9         
Term: answer                         Term Frequency: 9         
Term: between                        Term Frequency: 9         
Term: following                      Term Frequency: 9         
Term: does                           Term Frequency: 9         
Term: user                           Term Frequency: 9         
Term: environments                   Term Frequency: 9         
Term: 2008                           Term Frequency: 9         
Term: find                           Term Frequency: 9         
Term: assignments                    Term Frequency: 9         
Term: current                        Term Frequency: 9         
Term: hand                           Term Frequency: 8         
Term: 12                             Term Frequency: 8         
Term: 45                             Term Frequency: 8         
Term: forum                          Term Frequency: 8         
Term: education                      Term Frequency: 8         
Term: categories                     Term Frequency: 8         
Term: help                           Term Frequency: 8         
Term: measure                        Term Frequency: 8         
Term: concerning                     Term Frequency: 8         
Term: meta                           Term Frequency: 8         
Term: discussions                    Term Frequency: 8         
Term: advice                         Term Frequency: 8         
Term: important                      Term Frequency: 8         
Term: projects                       Term Frequency: 8         
Term: quiz                           Term Frequency: 8         
Term: field                          Term Frequency: 8         
Term: mapping                        Term Frequency: 8         
Term: practice                       Term Frequency: 8         
Term: development                    Term Frequency: 8         
Term: resource                       Term Frequency: 8         
Term: conclusions                    Term Frequency: 8         
Term: 2006                           Term Frequency: 8         
Term: 2005                           Term Frequency: 8         
Term: answers                        Term Frequency: 8         
Term: collection                     Term Frequency: 8         
Term: all                            Term Frequency: 8         
Term: visualization                  Term Frequency: 8         
Term: missing                        Term Frequency: 8         
Term: 5                              Term Frequency: 7         
Term: 6                              Term Frequency: 7         
Term: provided                       Term Frequency: 7         
Term: state                          Term Frequency: 7         
Term: make                           Term Frequency: 7         
Term: 22                             Term Frequency: 7         
Term: 27                             Term Frequency: 7         
Term: 37                             Term Frequency: 7         
Term: work                           Term Frequency: 7         
Term: spent                          Term Frequency: 7         
Term: often                          Term Frequency: 7         
Term: who                            Term Frequency: 7         
Term: changes                        Term Frequency: 7         
Term: phase                          Term Frequency: 7         
Term: purpose                        Term Frequency: 7         
Term: weekly                         Term Frequency: 7         
Term: his                            Term Frequency: 7         
Term: attendance                     Term Frequency: 7         
Term: active                         Term Frequency: 7         
Term: identify                       Term Frequency: 7         
Term: improvement                    Term Frequency: 7         
Term: show                           Term Frequency: 7         
Term: daily                          Term Frequency: 7         
Term: technology                     Term Frequency: 7         
Term: supposed                       Term Frequency: 7         
Term: computer                       Term Frequency: 7         
Term: refers                         Term Frequency: 7         
Term: hourly                         Term Frequency: 7         
Term: awareness                      Term Frequency: 7         
Term: own                            Term Frequency: 7         
Term: like                           Term Frequency: 7         
Term: groups                         Term Frequency: 7         
Term: 2009                           Term Frequency: 7         
Term: future                         Term Frequency: 7         
Term: results                        Term Frequency: 7         
Term: collected                      Term Frequency: 7         
Term: set                            Term Frequency: 7         
Term: interviews                     Term Frequency: 7         
Term: after                          Term Frequency: 6         
Term: order                          Term Frequency: 6         
Term: possible                       Term Frequency: 6         
Term: made                           Term Frequency: 6         
Term: status                         Term Frequency: 6         
Term: 25                             Term Frequency: 6         
Term: 31                             Term Frequency: 6         
Term: 46                             Term Frequency: 6         
Term: 47                             Term Frequency: 6         
Term: 50                             Term Frequency: 6         
Term: step                           Term Frequency: 6         
Term: student’s                      Term Frequency: 6         
Term: environment                    Term Frequency: 6         
Term: etc                            Term Frequency: 6         
Term: lecture                        Term Frequency: 6         
Term: email                          Term Frequency: 6         
Term: single                         Term Frequency: 6         
Term: privacy                        Term Frequency: 6         
Term: questionnaires                 Term Frequency: 6         
Term: sets                           Term Frequency: 6         
Term: success                        Term Frequency: 6         
Term: whether                        Term Frequency: 6         
Term: her                            Term Frequency: 6         
Term: limitations                    Term Frequency: 6         
Term: dyckhoff                       Term Frequency: 6         
Term: its                            Term Frequency: 6         
Term: read                           Term Frequency: 6         
Term: those                          Term Frequency: 6         
Term: courses                        Term Frequency: 6         
Term: influence                      Term Frequency: 6         
Term: developed                      Term Frequency: 6         
Term: high                           Term Frequency: 6         
Term: social                         Term Frequency: 6         
Term: only                           Term Frequency: 6         
Term: studies                        Term Frequency: 6         
Term: limited                        Term Frequency: 6         
Term: overall                        Term Frequency: 6         
