Term: example                        Term Frequency: 6         
Term: experiment                     Term Frequency: 6         
Term: does                           Term Frequency: 6         
Term: experts                        Term Frequency: 6         
Term: determined                     Term Frequency: 6         
Term: method                         Term Frequency: 6         
Term: pre                            Term Frequency: 6         
Term: methods                        Term Frequency: 6         
Term: account                        Term Frequency: 6         
Term: 2015                           Term Frequency: 6         
Term: equation                       Term Frequency: 6         
Term: better                         Term Frequency: 5         
Term: term                           Term Frequency: 5         
Term: possible                       Term Frequency: 5         
Term: dif                            Term Frequency: 5         
Term: 12                             Term Frequency: 5         
Term: section                        Term Frequency: 5         
Term: who                            Term Frequency: 5         
Term: literature                     Term Frequency: 5         
Term: whether                        Term Frequency: 5         
Term: been                           Term Frequency: 5         
Term: topics                         Term Frequency: 5         
Term: sequenc                        Term Frequency: 5         
Term: expert                         Term Frequency: 5         
Term: selects                        Term Frequency: 5         
Term: binary                         Term Frequency: 5         
Term: above                          Term Frequency: 5         
Term: deployed                       Term Frequency: 5         
Term: similar                        Term Frequency: 5         
Term: significantly                  Term Frequency: 5         
Term: chosen                         Term Frequency: 5         
Term: proposed                       Term Frequency: 5         
Term: pedagogical                    Term Frequency: 5         
Term: classrooms                     Term Frequency: 5         
Term: within                         Term Frequency: 5         
Term: years                          Term Frequency: 5         
Term: grade                          Term Frequency: 5         
Term: results                        Term Frequency: 5         
Term: described                      Term Frequency: 5         
Term: relevant                       Term Frequency: 5         
Term: stu                            Term Frequency: 5         
Term: responses                      Term Frequency: 5         
Term: e.g                            Term Frequency: 4         
Term: have                           Term Frequency: 4         
Term: defined                        Term Frequency: 4         
Term: reported                       Term Frequency: 4         
Term: acquisition                    Term Frequency: 4         
Term: included                       Term Frequency: 4         
Term: empirical                      Term Frequency: 4         
Term: observed                       Term Frequency: 4         
Term: 17                             Term Frequency: 4         
Term: theory                         Term Frequency: 4         
Term: year                           Term Frequency: 4         
Term: learn                          Term Frequency: 4         
Term: ofthe                          Term Frequency: 4         
Term: chose                          Term Frequency: 4         
Term: topic                          Term Frequency: 4         
Term: evaluated                      Term Frequency: 4         
Term: ap                             Term Frequency: 4         
Term: de                             Term Frequency: 4         
Term: four                           Term Frequency: 4         
Term: grades                         Term Frequency: 4         
Term: predicting                     Term Frequency: 4         
Term: intelligent                    Term Frequency: 4         
Term: get                            Term Frequency: 4         
Term: thus                           Term Frequency: 4         
Term: standard                       Term Frequency: 4         
Term: point                          Term Frequency: 4         
Term: opportunity                    Term Frequency: 4         
Term: problems                       Term Frequency: 4         
Term: showed                         Term Frequency: 4         
Term: reason                         Term Frequency: 4         
Term: outperform                     Term Frequency: 4         
Term: high                           Term Frequency: 4         
Term: exhibited                      Term Frequency: 4         
Term: following                      Term Frequency: 4         
Term: let                            Term Frequency: 4         
Term: part                           Term Frequency: 4         
Term: interaction                    Term Frequency: 4         
Term: domain                         Term Frequency: 4         
Term: because                        Term Frequency: 4         
Term: user                           Term Frequency: 4         
Term: node                           Term Frequency: 4         
Term: distribution                   Term Frequency: 4         
Term: line                           Term Frequency: 4         
Term: answering                      Term Frequency: 4         
Term: existing                       Term Frequency: 4         
Term: 2014                           Term Frequency: 4         
Term: five                           Term Frequency: 4         
Term: inferred                       Term Frequency: 4         
Term: 0.1                            Term Frequency: 4         
Term: 0.3                            Term Frequency: 4         
Term: correctness                    Term Frequency: 4         
Term: matches                        Term Frequency: 4         
Term: simple                         Term Frequency: 4         
Term: select                         Term Frequency: 4         
Term: table                          Term Frequency: 4         
Term: baseline                       Term Frequency: 4         
Term: information                    Term Frequency: 3         
Term: order                          Term Frequency: 3         
Term: top                            Term Frequency: 3         
Term: con                            Term Frequency: 3         
Term: requires                       Term Frequency: 3         
Term: performed                      Term Frequency: 3         
Term: ferent                         Term Frequency: 3         
Term: right                          Term Frequency: 3         
Term: stage                          Term Frequency: 3         
Term: includes                       Term Frequency: 3         
Term: 13                             Term Frequency: 3         
Term: 18                             Term Frequency: 3         
Term: 21                             Term Frequency: 3         
Term: variables                      Term Frequency: 3         
Term: many                           Term Frequency: 3         
Term: thatis                         Term Frequency: 3         
Term: math                           Term Frequency: 3         
Term: extension                      Term Frequency: 3         
Term: spent                          Term Frequency: 3         
Term: optimal                        Term Frequency: 3         
Term: evidence                       Term Frequency: 3         
Term: ers                            Term Frequency: 3         
Term: harder                         Term Frequency: 3         
Term: maintain                       Term Frequency: 3         
Term: another                        Term Frequency: 3         
Term: classes                        Term Frequency: 3         
Term: way                            Term Frequency: 3         
Term: issues                         Term Frequency: 3         
Term: lowest                         Term Frequency: 3         
Term: study                          Term Frequency: 3         
Term: dent’s                         Term Frequency: 3         
Term: fit                            Term Frequency: 3         
Term: needs                          Term Frequency: 3         
Term: ability                        Term Frequency: 3         
Term: pa                             Term Frequency: 3         
Term: easier                         Term Frequency: 3         
Term: them                           Term Frequency: 3         
Term: obtained                       Term Frequency: 3         
Term: up                             Term Frequency: 3         
Term: course                         Term Frequency: 3         
Term: challenges                     Term Frequency: 3         
Term: observations                   Term Frequency: 3         
Term: follow                         Term Frequency: 3         
Term: introduced                     Term Frequency: 3         
Term: formance                       Term Frequency: 3         
Term: focus                          Term Frequency: 3         
Term: performing                     Term Frequency: 3         
Term: her                            Term Frequency: 3         
Term: how                            Term Frequency: 3         
Term: could                          Term Frequency: 3         
Term: thestudent’s                   Term Frequency: 3         
Term: thequestion                    Term Frequency: 3         
Term: fact                           Term Frequency: 3         
Term: paper                          Term Frequency: 3         
Term: objects                        Term Frequency: 3         
Term: testing                        Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: helpful                        Term Frequency: 3         
Term: significant                    Term Frequency: 3         
Term: show                           Term Frequency: 3         
Term: learned                        Term Frequency: 3         
Term: programming                    Term Frequency: 3         
Term: subset                         Term Frequency: 3         
Term: side                           Term Frequency: 3         
Term: scoren                         Term Frequency: 3         
Term: available                      Term Frequency: 3         
Term: should                         Term Frequency: 3         
Term: individual                     Term Frequency: 3         
Term: address                        Term Frequency: 3         
Term: employed                       Term Frequency: 3         
Term: condition                      Term Frequency: 3         
