Term: use                            Term Frequency: 9         
Term: 14                             Term Frequency: 9         
Term: expected                       Term Frequency: 9         
Term: we                             Term Frequency: 9         
Term: educators                      Term Frequency: 9         
Term: organized                      Term Frequency: 9         
Term: how                            Term Frequency: 9         
Term: access                         Term Frequency: 9         
Term: week                           Term Frequency: 9         
Term: each                           Term Frequency: 8         
Term: two                            Term Frequency: 8         
Term: researchers                    Term Frequency: 8         
Term: http                           Term Frequency: 8         
Term: content                        Term Frequency: 8         
Term: depth                          Term Frequency: 8         
Term: visitor                        Term Frequency: 8         
Term: academics                      Term Frequency: 8         
Term: agriculture                    Term Frequency: 8         
Term: 2010                           Term Frequency: 8         
Term: first                          Term Frequency: 8         
Term: using                          Term Frequency: 8         
Term: popular                        Term Frequency: 8         
Term: both                           Term Frequency: 8         
Term: repositories                   Term Frequency: 8         
Term: c                              Term Frequency: 7         
Term: e                              Term Frequency: 7         
Term: activities                     Term Frequency: 7         
Term: defined                        Term Frequency: 7         
Term: services                       Term Frequency: 7         
Term: log                            Term Frequency: 7         
Term: whereas                        Term Frequency: 7         
Term: project                        Term Frequency: 7         
Term: took                           Term Frequency: 7         
Term: research                       Term Frequency: 7         
Term: when                           Term Frequency: 7         
Term: organization                   Term Frequency: 7         
Term: them                           Term Frequency: 7         
Term: support                        Term Frequency: 7         
Term: almost                         Term Frequency: 7         
Term: pre                            Term Frequency: 7         
Term: group                          Term Frequency: 7         
Term: 2003                           Term Frequency: 7         
Term: could                          Term Frequency: 7         
Term: views                          Term Frequency: 7         
Term: following                      Term Frequency: 7         
Term: overall                        Term Frequency: 6         
Term: specifically                   Term Frequency: 6         
Term: teaching                       Term Frequency: 6         
Term: text                           Term Frequency: 6         
Term: 15                             Term Frequency: 6         
Term: 30                             Term Frequency: 6         
Term: organic                        Term Frequency: 6         
Term: seems                          Term Frequency: 6         
Term: education                      Term Frequency: 6         
Term: countries                      Term Frequency: 6         
Term: way                            Term Frequency: 6         
Term: data                           Term Frequency: 6         
Term: i.e                            Term Frequency: 6         
Term: some                           Term Frequency: 6         
Term: paper                          Term Frequency: 6         
Term: identify                       Term Frequency: 6         
Term: other                          Term Frequency: 6         
Term: results                        Term Frequency: 6         
Term: compared                       Term Frequency: 6         
Term: set                            Term Frequency: 6         
Term: focused                        Term Frequency: 6         
Term: bounces                        Term Frequency: 6         
Term: files                          Term Frequency: 6         
Term: same                           Term Frequency: 5         
Term: e.g                            Term Frequency: 5         
Term: retrieved                      Term Frequency: 5         
Term: month                          Term Frequency: 5         
Term: websites                       Term Frequency: 5         
Term: 23                             Term Frequency: 5         
Term: numbers                        Term Frequency: 5         
Term: whole                          Term Frequency: 5         
Term: community                      Term Frequency: 5         
Term: functionalities                Term Frequency: 5         
Term: end                            Term Frequency: 5         
Term: digital                        Term Frequency: 5         
Term: homepage                       Term Frequency: 5         
Term: engines                        Term Frequency: 5         
Term: changes                        Term Frequency: 5         
Term: out                            Term Frequency: 5         
Term: affected                       Term Frequency: 5         
Term: loyal                          Term Frequency: 5         
Term: 2009                           Term Frequency: 5         
Term: 2002                           Term Frequency: 5         
Term: international                  Term Frequency: 5         
Term: visitation                     Term Frequency: 5         
Term: searching                      Term Frequency: 5         
Term: attracted                      Term Frequency: 5         
Term: high                           Term Frequency: 5         
Term: different                      Term Frequency: 5         
Term: interesting                    Term Frequency: 5         
Term: browsing                       Term Frequency: 5         
Term: throughout                     Term Frequency: 5         
Term: only                           Term Frequency: 5         
Term: provided                       Term Frequency: 4         
Term: provide                        Term Frequency: 4         
Term: initial                        Term Frequency: 4         
Term: shows                          Term Frequency: 4         
Term: someone                        Term Frequency: 4         
Term: examining                      Term Frequency: 4         
Term: back                           Term Frequency: 4         
Term: showing                        Term Frequency: 4         
Term: made                           Term Frequency: 4         
Term: may                            Term Frequency: 4         
Term: about                          Term Frequency: 4         
Term: 12                             Term Frequency: 4         
Term: 13                             Term Frequency: 4         
Term: variables                      Term Frequency: 4         
Term: 73                             Term Frequency: 4         
Term: work                           Term Frequency: 4         
Term: spent                          Term Frequency: 4         
Term: website                        Term Frequency: 4         
Term: visited                        Term Frequency: 4         
Term: etc                            Term Frequency: 4         
Term: rise                           Term Frequency: 4         
Term: explore                        Term Frequency: 4         
Term: presented                      Term Frequency: 4         
Term: sites                          Term Frequency: 4         
Term: context                        Term Frequency: 4         
Term: months                         Term Frequency: 4         
Term: starting                       Term Frequency: 4         
Term: conference                     Term Frequency: 4         
Term: up                             Term Frequency: 4         
Term: terms                          Term Frequency: 4         
Term: help                           Term Frequency: 4         
Term: followed                       Term Frequency: 4         
Term: steady                         Term Frequency: 4         
Term: universities                   Term Frequency: 4         
Term: potential                      Term Frequency: 4         
Term: evaluation                     Term Frequency: 4         
Term: knowledge                      Term Frequency: 4         
Term: trying                         Term Frequency: 4         
Term: 2001                           Term Frequency: 4         
Term: 2011                           Term Frequency: 4         
Term: symbolized                     Term Frequency: 4         
Term: present                        Term Frequency: 4         
Term: mainly                         Term Frequency: 4         
Term: network                        Term Frequency: 4         
Term: scenarios                      Term Frequency: 4         
Term: any                            Term Frequency: 4         
Term: came                           Term Frequency: 4         
Term: sec                            Term Frequency: 4         
Term: sources                        Term Frequency: 4         
Term: focuses                        Term Frequency: 4         
Term: change                         Term Frequency: 4         
Term: participants                   Term Frequency: 4         
Term: once                           Term Frequency: 4         
Term: tag                            Term Frequency: 4         
Term: gateways                       Term Frequency: 3         
Term: example                        Term Frequency: 3         
Term: schools                        Term Frequency: 3         
Term: top                            Term Frequency: 3         
Term: academic                       Term Frequency: 3         
Term: times                          Term Frequency: 3         
Term: actual                         Term Frequency: 3         
Term: technologies                   Term Frequency: 3         
Term: measured                       Term Frequency: 3         
Term: minutes                        Term Frequency: 3         
Term: part                           Term Frequency: 3         
Term: term                           Term Frequency: 3         
Term: did                            Term Frequency: 3         
Term: finally                        Term Frequency: 3         
Term: virtual                        Term Frequency: 3         
Term: 17                             Term Frequency: 3         
Term: 18                             Term Frequency: 3         
Term: quality                        Term Frequency: 3         
Term: unique                         Term Frequency: 3         
Term: 50                             Term Frequency: 3         
Term: 65                             Term Frequency: 3         
Term: relation                       Term Frequency: 3         
Term: often                          Term Frequency: 3         
Term: gradually                      Term Frequency: 3         
Term: new                            Term Frequency: 3         
Term: tool                           Term Frequency: 3         
Term: referencing                    Term Frequency: 3         
Term: features                       Term Frequency: 3         
Term: sharing                        Term Frequency: 3         
Term: far                            Term Frequency: 3         
Term: various                        Term Frequency: 3         
Term: analyzing                      Term Frequency: 3         
Term: significantly                  Term Frequency: 3         
Term: seem                           Term Frequency: 3         
Term: analyzed                       Term Frequency: 3         
Term: wide                           Term Frequency: 3         
Term: method                         Term Frequency: 3         
Term: course                         Term Frequency: 3         
Term: allowing                       Term Frequency: 3         
Term: fluctuate                      Term Frequency: 3         
Term: considered                     Term Frequency: 3         
Term: focus                          Term Frequency: 3         
Term: particularly                   Term Frequency: 3         
Term: it’s                           Term Frequency: 3         
Term: design                         Term Frequency: 3         
Term: despite                        Term Frequency: 3         
Term: found                          Term Frequency: 3         
Term: had                            Term Frequency: 3         
Term: given                          Term Frequency: 3         
Term: conclusions                    Term Frequency: 3         
Term: point                          Term Frequency: 3         
Term: general                        Term Frequency: 3         
Term: clear                          Term Frequency: 3         
Term: 2008                           Term Frequency: 3         
Term: find                           Term Frequency: 3         
Term: online                         Term Frequency: 3         
Term: coming                         Term Frequency: 3         
Term: people                         Term Frequency: 3         
Term: finding                        Term Frequency: 3         
Term: 16.5                           Term Frequency: 3         
Term: again                          Term Frequency: 3         
Term: focusing                       Term Frequency: 3         
Term: federation                     Term Frequency: 3         
Term: number                         Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: facilitate                     Term Frequency: 3         
Term: where                          Term Frequency: 3         
Term: bounce                         Term Frequency: 3         
Term: reflected                      Term Frequency: 3         
Term: total                          Term Frequency: 3         
Term: types                          Term Frequency: 3         
Term: ones                           Term Frequency: 3         
Term: carried                        Term Frequency: 3         
Term: notable                        Term Frequency: 2         
Term: hand                           Term Frequency: 2         
Term: better                         Term Frequency: 2         
Term: taking                         Term Frequency: 2         
Term: famous                         Term Frequency: 2         
Term: question                       Term Frequency: 2         
Term: traffic                        Term Frequency: 2         
Term: comparison                     Term Frequency: 2         
Term: try                            Term Frequency: 2         
Term: university                     Term Frequency: 2         
Term: aforementioned                 Term Frequency: 2         
Term: 229                            Term Frequency: 2         
Term: involves                       Term Frequency: 2         
Term: widely                         Term Frequency: 2         
Term: start                          Term Frequency: 2         
Term: three                          Term Frequency: 2         
Term: tutors                         Term Frequency: 2         
Term: indexing                       Term Frequency: 2         
Term: particular                     Term Frequency: 2         
Term: declining                      Term Frequency: 2         
Term: interaction                    Term Frequency: 2         
Term: profile                        Term Frequency: 2         
Term: domain                         Term Frequency: 2         
Term: staff                          Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: navigation                     Term Frequency: 2         
Term: usually                        Term Frequency: 2         
Term: sense                          Term Frequency: 2         
Term: 3.1                            Term Frequency: 2         
Term: evaluate                       Term Frequency: 2         
Term: subject                        Term Frequency: 2         
Term: originate                      Term Frequency: 2         
Term: make                           Term Frequency: 2         
