Term: its                            Term Frequency: 8         
Term: results                        Term Frequency: 8         
Term: between                        Term Frequency: 8         
Term: 6                              Term Frequency: 7         
Term: schedule                       Term Frequency: 7         
Term: classes                        Term Frequency: 7         
Term: traditional                    Term Frequency: 7         
Term: improvement                    Term Frequency: 7         
Term: relearning                     Term Frequency: 7         
Term: also                           Term Frequency: 7         
Term: completion                     Term Frequency: 7         
Term: only                           Term Frequency: 7         
Term: spent                          Term Frequency: 6         
Term: optimal                        Term Frequency: 6         
Term: skills                         Term Frequency: 6         
Term: levels                         Term Frequency: 6         
Term: few                            Term Frequency: 6         
Term: systems                        Term Frequency: 6         
Term: given                          Term Frequency: 6         
Term: been                           Term Frequency: 6         
Term: paper                          Term Frequency: 6         
Term: number                         Term Frequency: 6         
Term: spaced                         Term Frequency: 6         
Term: over                           Term Frequency: 6         
Term: conditions                     Term Frequency: 6         
Term: would                          Term Frequency: 5         
Term: same                           Term Frequency: 5         
Term: s                              Term Frequency: 5         
Term: improve                        Term Frequency: 5         
Term: each                           Term Frequency: 5         
Term: two                            Term Frequency: 5         
Term: mathematics                    Term Frequency: 5         
Term: assigned                       Term Frequency: 5         
Term: adaptive                       Term Frequency: 5         
Term: across                         Term Frequency: 5         
Term: tutoring                       Term Frequency: 5         
Term: student’s                      Term Frequency: 5         
Term: improving                      Term Frequency: 5         
Term: what                           Term Frequency: 5         
Term: who                            Term Frequency: 5         
Term: than                           Term Frequency: 5         
Term: one                            Term Frequency: 5         
Term: groups                         Term Frequency: 5         
Term: correct                        Term Frequency: 5         
Term: even                           Term Frequency: 5         
Term: design                         Term Frequency: 5         
Term: has                            Term Frequency: 5         
Term: summer                         Term Frequency: 5         
Term: fact                           Term Frequency: 5         
Term: 0.0001                         Term Frequency: 5         
Term: result                         Term Frequency: 4         
Term: memory                         Term Frequency: 4         
Term: shown                          Term Frequency: 4         
Term: impact                         Term Frequency: 4         
Term: average                        Term Frequency: 4         
Term: did                            Term Frequency: 4         
Term: 13                             Term Frequency: 4         
Term: 15                             Term Frequency: 4         
Term: many                           Term Frequency: 4         
Term: deployed                       Term Frequency: 4         
Term: next                           Term Frequency: 4         
Term: patterns                       Term Frequency: 4         
Term: rate                           Term Frequency: 4         
Term: he                             Term Frequency: 4         
Term: lower                          Term Frequency: 4         
Term: up                             Term Frequency: 4         
Term: previous                       Term Frequency: 4         
Term: problem                        Term Frequency: 4         
Term: our                            Term Frequency: 4         
Term: slower                         Term Frequency: 4         
Term: robust                         Term Frequency: 4         
Term: small                          Term Frequency: 4         
Term: before                         Term Frequency: 4         
Term: his                            Term Frequency: 4         
Term: answer                         Term Frequency: 4         
Term: count                          Term Frequency: 4         
Term: take                           Term Frequency: 4         
Term: could                          Term Frequency: 4         
Term: problems                       Term Frequency: 4         
Term: outperformed                   Term Frequency: 4         
Term: other                          Term Frequency: 4         
Term: noticed                        Term Frequency: 4         
Term: assignment                     Term Frequency: 4         
Term: practices                      Term Frequency: 4         
Term: enhanced                       Term Frequency: 4         
Term: reach                          Term Frequency: 4         
Term: review                         Term Frequency: 4         
Term: should                         Term Frequency: 4         
Term: example                        Term Frequency: 3         
Term: better                         Term Frequency: 3         
Term: order                          Term Frequency: 3         
Term: fixed                          Term Frequency: 3         
Term: lot                            Term Frequency: 3         
Term: speeds                         Term Frequency: 3         
Term: 0.27                           Term Frequency: 3         
Term: make                           Term Frequency: 3         
Term: observed                       Term Frequency: 3         
Term: 12                             Term Frequency: 3         
Term: achieving                      Term Frequency: 3         
Term: needed                         Term Frequency: 3         
Term: attempts                       Term Frequency: 3         
Term: assigning                      Term Frequency: 3         
Term: gradually                      Term Frequency: 3         
Term: new                            Term Frequency: 3         
Term: took                           Term Frequency: 3         
Term: rates                          Term Frequency: 3         
Term: another                        Term Frequency: 3         
Term: way                            Term Frequency: 3         
Term: promoted                       Term Frequency: 3         
Term: which                          Term Frequency: 3         
Term: teachers                       Term Frequency: 3         
Term: 508                            Term Frequency: 3         
Term: months                         Term Frequency: 3         
Term: intelligent                    Term Frequency: 3         
Term: them                           Term Frequency: 3         
Term: help                           Term Frequency: 3         
Term: thus                           Term Frequency: 3         
Term: 5000                           Term Frequency: 3         
Term: group                          Term Frequency: 3         
Term: questions                      Term Frequency: 3         
Term: passes                         Term Frequency: 3         
Term: passed                         Term Frequency: 3         
Term: 2013                           Term Frequency: 3         
Term: explored                       Term Frequency: 3         
Term: scheduled                      Term Frequency: 3         
Term: during                         Term Frequency: 3         
Term: cannot                         Term Frequency: 3         
Term: 0.0002                         Term Frequency: 3         
Term: value                          Term Frequency: 3         
Term: setting                        Term Frequency: 3         
Term: 831                            Term Frequency: 3         
Term: therefore                      Term Frequency: 3         
Term: future                         Term Frequency: 3         
Term: wpi.edu                        Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: conducted                      Term Frequency: 3         
Term: hypothesis                     Term Frequency: 3         
Term: longer                         Term Frequency: 3         
Term: most                           Term Frequency: 3         
Term: important                      Term Frequency: 3         
Term: saw                            Term Frequency: 3         
Term: however                        Term Frequency: 3         
Term: cycle                          Term Frequency: 3         
Term: several                        Term Frequency: 3         
Term: 01609                          Term Frequency: 3         
Term: total                          Term Frequency: 3         
Term: 100                            Term Frequency: 3         
Term: passing                        Term Frequency: 3         
Term: 8                              Term Frequency: 2         
Term: 9                              Term Frequency: 2         
Term: 67.5                           Term Frequency: 2         
Term: hand                           Term Frequency: 2         
Term: pilot                          Term Frequency: 2         
Term: multiple                       Term Frequency: 2         
Term: versus                         Term Frequency: 2         
Term: considering                    Term Frequency: 2         
Term: comparison                     Term Frequency: 2         
Term: scenario                       Term Frequency: 2         
Term: importantly                    Term Frequency: 2         
Term: 280                            Term Frequency: 2         
Term: start                          Term Frequency: 2         
Term: required                       Term Frequency: 2         
Term: specifically                   Term Frequency: 2         
Term: requires                       Term Frequency: 2         
Term: performed                      Term Frequency: 2         
Term: shows                          Term Frequency: 2         
Term: particular                     Term Frequency: 2         
Term: part                           Term Frequency: 2         
Term: relative                       Term Frequency: 2         
Term: bins                           Term Frequency: 2         
Term: possible                       Term Frequency: 2         
Term: 0.12                           Term Frequency: 2         
Term: later                          Term Frequency: 2         
Term: importance                     Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: statistically                  Term Frequency: 2         
Term: made                           Term Frequency: 2         
Term: field                          Term Frequency: 2         
Term: 3.1                            Term Frequency: 2         
Term: 3.2                            Term Frequency: 2         
Term: may                            Term Frequency: 2         
Term: use                            Term Frequency: 2         
Term: 83.91                          Term Frequency: 2         
Term: about                          Term Frequency: 2         
Term: 10                             Term Frequency: 2         
Term: 11                             Term Frequency: 2         
Term: received                       Term Frequency: 2         
Term: benefit                        Term Frequency: 2         
Term: boost                          Term Frequency: 2         
Term: 28                             Term Frequency: 2         
Term: examined                       Term Frequency: 2         
Term: 51                             Term Frequency: 2         
Term: 56                             Term Frequency: 2         
Term: reliable                       Term Frequency: 2         
Term: 97                             Term Frequency: 2         
Term: delays                         Term Frequency: 2         
Term: science                        Term Frequency: 2         
Term: least                          Term Frequency: 2         
Term: immediately                    Term Frequency: 2         
Term: measurement                    Term Frequency: 2         
Term: historical                     Term Frequency: 2         
Term: end                            Term Frequency: 2         
Term: fails                          Term Frequency: 2         
Term: environment                    Term Frequency: 2         
Term: called                         Term Frequency: 2         
Term: mapping                        Term Frequency: 2         
Term: expected                       Term Frequency: 2         
Term: mechanism                      Term Frequency: 2         
Term: research                       Term Frequency: 2         
Term: decrease                       Term Frequency: 2         
Term: issues                         Term Frequency: 2         
Term: enabled                        Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: used                           Term Frequency: 2         
Term: uses                           Term Frequency: 2         
Term: addition                       Term Frequency: 2         
Term: promoting                      Term Frequency: 2         
Term: sure                           Term Frequency: 2         
Term: do                             Term Frequency: 2         
Term: delayed                        Term Frequency: 2         
Term: become                         Term Frequency: 2         
Term: 532                            Term Frequency: 2         
Term: complete                       Term Frequency: 2         
Term: second                         Term Frequency: 2         
Term: investigate                    Term Frequency: 2         
Term: pp                             Term Frequency: 2         
Term: estimate                       Term Frequency: 2         
Term: grouped                        Term Frequency: 2         
Term: us                             Term Frequency: 2         
Term: out                            Term Frequency: 2         
Term: proposed                       Term Frequency: 2         
Term: note                           Term Frequency: 2         
Term: implementation                 Term Frequency: 2         
Term: without                        Term Frequency: 2         
Term: contributions                  Term Frequency: 2         
Term: analysis                       Term Frequency: 2         
Term: achieve                        Term Frequency: 2         
Term: masters                        Term Frequency: 2         
Term: lack                           Term Frequency: 2         
Term: perform                        Term Frequency: 2         
Term: period                         Term Frequency: 2         
Term: classroom                      Term Frequency: 2         
Term: equally                        Term Frequency: 2         
Term: found                          Term Frequency: 2         
Term: 81.2                           Term Frequency: 2         
Term: identified                     Term Frequency: 2         
Term: him                            Term Frequency: 2         
Term: assumptions                    Term Frequency: 2         
Term: potential                      Term Frequency: 2         
Term: general                        Term Frequency: 2         
Term: process                        Term Frequency: 2         
Term: some                           Term Frequency: 2         
Term: additional                     Term Frequency: 2         
Term: 2012                           Term Frequency: 2         
Term: 2008                           Term Frequency: 2         
Term: just                           Term Frequency: 2         
Term: approximately                  Term Frequency: 2         
Term: although                       Term Frequency: 2         
Term: concerned                      Term Frequency: 2         
Term: find                           Term Frequency: 2         
Term: calculated                     Term Frequency: 2         
Term: workflow                       Term Frequency: 2         
Term: best                           Term Frequency: 2         
Term: contribution                   Term Frequency: 2         
Term: mastered                       Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: demonstrated                   Term Frequency: 2         
Term: demonstrates                   Term Frequency: 2         
Term: close                          Term Frequency: 2         
Term: helped                         Term Frequency: 2         
Term: retain                         Term Frequency: 2         
Term: row                            Term Frequency: 2         
Term: until                          Term Frequency: 2         
Term: increased                      Term Frequency: 2         
Term: through                        Term Frequency: 2         
Term: those                          Term Frequency: 2         
Term: significant                    Term Frequency: 2         
Term: modeling                       Term Frequency: 2         
Term: collected                      Term Frequency: 2         
Term: both                           Term Frequency: 2         
Term: profit                         Term Frequency: 2         
Term: extracted                      Term Frequency: 2         
