Word                           CF TF-IDF
-----------------------------------
chem                           28.641800090931522
ewss                           13.335722925343012
stem academy                   11.946670675082235
resource use                   5.625896097003629
ews                            3.6520942206823186
boor                           3.3693341350164467
grunwald                       3.3693341350164467
info                           3.213124828504872
intermediary                   2.8273440072745215
forthcoming                    2.7411243922477206
instructor information         2.5419653656678767
sample exams                   2.5419653656678767
flanner hall notre dame        2.5419653656678767
all resource categories resource category 2.5419653656678767
barry fishman                  2.5419653656678767
course info                    2.5419653656678767
rwadding                       2.5419653656678767
fodder                         2.5419653656678767
team report forms              2.5419653656678767
grades resource category       2.5419653656678767
