Word                           CF TF-IDF
-----------------------------------
posture                        25.814498765235083
utterances                     17.567308549610175
utterance                      16.372763742753435
gesture                        15.23872637667095
torso                          8.70800240504934
ack                            8.70800240504934
boyer                          6.945791801561898
branching                      6.468360018186305
sigdial                        5.7386682700328935
modifies                       5.625896097003629
misclassified                  4.812577797844295
multimodal interfaces          4.70400120252467
subsequences                   4.083930731335753
vail                           4.083930731335753
addressee                      4.083930731335753
pane                           4.046836460180256
wiebe                          3.746836460180256
shriberg                       3.7410160109117827
grafsgaard                     3.4410160109117824
scanner                        3.3693341350164467
