Word                           CF TF-IDF
-----------------------------------
ksv                            27.213411216353897
kissme                         10.251792194007258
knowledge space visualizer     8.709826828339382
overlaid                       6.168360018186304
zampa                          5.625896097003629
bavelas                        4.083930731335753
semantic student model explorer 4.083930731335753
rehder                         4.083930731335753
menzel                         4.083930731335753
schreiner                      4.083930731335753
svd                            4.083930731335753
prototypic                     3.3693341350164467
wolfe                          3.3693341350164467
j.s.                           3.3693341350164467
laham                          3.1840314068941056
reffay                         2.9851273451351923
authorship                     2.546836460180256
principal components           2.5419653656678767
meld                           2.5419653656678767
tazi                           2.5419653656678767
