Word                           CF TF-IDF
-----------------------------------
notification                   17.897594703075818
pepper                         10.251792194007258
bootstrapped                   3.3693341350164467
lulee                          2.5419653656678767
prelimary                      2.5419653656678767
mlinkoff                       2.5419653656678767
mclasswalloff                  2.5419653656678767
student behaviors              2.5419653656678767
notification system            2.5419653656678767
atkinson j.                    2.5419653656678767
alexandra makos university     2.5419653656678767
basic principles               2.5419653656678767
clare brett                    2.5419653656678767
mcoauthoroff                   2.5419653656678767
boettcher                      2.5419653656678767
mlinkon                        2.5419653656678767
mclasswallon                   2.5419653656678767
attachments                    2.5419653656678767
theory keywords student online behavior 2.5419653656678767
classwall                      2.5419653656678767
