Word                           CF TF-IDF
-----------------------------------
ewi                            21.045549753682398
ewis                           16.419653656678765
graduating                     10.71889483712201
montgomery county public schools 10.251792194007258
absrate                        7.167861462671506
cis                            7.167861462671506
gmapr                          7.167861462671506
district                       6.814404813578141
numeric student                5.625896097003629
mobility                       5.58251440064101
prioritization                 4.840052344823509
sprott                         4.70400120252467
ris                            4.083930731335753
social good                    4.083930731335753
nsusp                          4.083930731335753
montgomery                     4.083930731335753
grad                           4.083930731335753
gmsam                          4.083930731335753
dynarski                       4.083930731335753
binary flag                    4.083930731335753
