Word                           CF TF-IDF
-----------------------------------
tinkering                      11.377336540065787
explainers                     10.251792194007258
museum                         8.520467636946373
adage                          7.167861462671506
docents                        7.167861462671506
eev                            7.167861462671506
explainer                      7.167861462671506
oztoc                          5.625896097003629
playspace                      5.625896097003629
leds                           5.625896097003629
times roman                    5.625896097003629
circuits                       5.380999725607796
berland                        5.2546880145490436
fish                           5.140052344823509
unproductive                   4.538264948827337
aquatic                        4.083930731335753
unproductivity                 4.083930731335753
lures                          4.083930731335753
circuit                        3.445917938592804
font                           2.9306119590618698
