Word                           Count
-----------------------------------
data                           43
learning                       23
students                       14
analytics                      9
personal                       8
analytic                       8
visual                         7
sensemaking                    6
representation                 6
devices                        6
activity                       6
human                          6
interaction                    6
work                           6
visualization                  6
approaches                     5
social                         5
make                           5
representational               4
interactions                   4
