Word                           TF-IDF
-----------------------------------
exercises                      110.94014491172562
parameters                     76.89125844718504
exercise                       76.425433161411
khan                           74.23455450190002
hint                           74.23455450190002
platform                       60.87372662434589
abuser                         55.2589609700363
academy                        52.343741594377136
videos                         46.726667954132246
badges                         45.269071888378235
user                           40.71308604374312
time                           40.47207723742776
avoidance                      38.56510295497887
total                          34.7413354513866
correct                        33.056319181861205
constancy                      30.699422761131277
gamification                   30.10649639117365
students                       28.979749083735296
habits                         27.100683652584472
unreflective                   25.227866727287683
