Word                           TF-IDF
-----------------------------------
phoenix                        89.6591641514048
idr                            73.67861462671506
data                           55.10210606618783
hadoop                         50.455733454575366
zip                            35.31901341820276
sperling                       30.699422761131277
staging                        27.244451125137058
students                       24.52132614777602
institution                    23.246194414265243
university                     22.84335979610035
persistence                    21.242016124281914
student                        20.725506220432134
pyramid                        20.182293381830146
tableau                        18.156121533934186
business                       17.523297289414575
repository                     17.40822167694394
replication                    17.30780265694623
one                            17.09062125451056
reporting                      16.013434118915523
source                         15.827888150685407
