Word                           TF-IDF
-----------------------------------
multivocality                  132.42269355287908
pivotal                        118.18708001776086
shirouzu                       100.91146690915073
problématiques                 85.95838373116757
tel                            84.93548659517502
learning                       79.89043766390832
interdisciplinarity            73.67861462671506
data                           64.16954124163647
problématique                  55.2589609700363
chiu                           52.567928195353545
multidisciplinarity            52.36038386203907
analytics                      52.27849799714156
convergence                    51.17357497648895
disciplines                    50.354471756079136
moment                         49.470113529781386
different                      46.010538119631555
moments                        43.82114975630342
productive                     43.70800748646935
stellar                        43.58843299218225
grand                          43.427445877994366
