Word                           TF-IDF
-----------------------------------
elli                           216.95965385467406
learning                       162.58404857918183
dispositions                   109.8146864147623
deakin                         83.15484257323605
crick                          74.09764238673473
warehouse                      63.47088243706869
bristol                        61.88045365513709
power                          52.9682849776081
spider                         46.2750480021367
learners                       46.17389782701302
analytics                      41.82279839771324
pole                           38.14223157519188
visual                         37.34271019453799
dimensions                     32.99125799542292
inventory                      32.60333241869265
things                         30.313316625799512
curiosity                      30.10649639117365
data                           29.992285580330083
identity                       29.71033080884648
research                       29.088107398897627
