Word                           TF-IDF
-----------------------------------
classifications                71.13711296745151
tags                           67.86693081862855
objects                        63.87190867907344
object                         24.212591543026555
hold                           20.18377851324311
learning                       19.622212759556426
renzo                          18.419653656678765
piano                          18.419653656678765
threshold                      18.382832862699463
mae                            17.4353731968729
tagging                        17.25735587515732
tagged                         16.795870754283207
metadata                       14.542913746848974
mace                           13.61709115045064
increases                      12.90807111700353
assigned                       12.645563548547571
pompidou                       12.27976910445251
portals                        11.569530886493661
usage                          11.261837134719643
coverage                       11.19724716952214
