Word                           TF-IDF
-----------------------------------
students                       90.65459969783862
recovery                       80.72917352732058
roulette                       79.81849917894132
exam                           65.36118351182031
hazard                         61.398845522262555
academic                       58.183372013092225
adoption                       45.21068083075937
pti                            36.83930731335753
odds                           36.746300358302925
use                            35.40567116796501
classified                     33.72537606441602
difficulty                     32.834079400880384
tool                           32.49267144470501
recover                        31.773212684384827
exiting                        30.699422761131277
things                         30.313316625799512
course                         29.62952765937393
semester                       28.726240278900807
weekly                         27.408127047361976
engage                         26.293439701878288
