Word                           TF-IDF
-----------------------------------
lms                            51.59801203970398
folder                         45.390303834835464
configured                     45.0002869080602
machine                        35.44676950531252
students                       31.208960551714934
events                         29.652134247587945
learning                       25.929352575128135
lmss                           24.744851500633338
cam                            23.758526449496017
virtual                        21.746497842766967
desktop                        21.170754967638494
course                         20.0435040048706
tools                          19.476436648855667
recorded                       19.048163455438903
actuators                      18.419653656678765
machines                       16.987097319035005
recording                      16.966732704657137
madrid                         16.702863799228602
abet                           16.346670675082233
interaction                    16.18517471421988
