Word                           TF-IDF
-----------------------------------
learning                       63.77219146855839
analytics                      38.247417330787606
papers                         34.495418292649326
voices                         25.20327947738918
analytic                       24.282559176674287
multivocality                  22.579872293380237
boundary                       21.65174506305417
middle                         19.86935698253477
ing                            16.82764328835129
panels                         16.301666209346326
multidisciplinary              16.1675256744208
data                           16.09287642042427
accepted                       16.050462274576162
traditions                     15.426041181991549
research                       15.372193486691842
conception                     15.051051463673222
dialogue                       14.758222256271834
objects                        14.675183957397664
space                          14.183625052733213
contributions                  13.14247296706093
